Date,Time Taken,Condition,Review,Rating
"September 16, 2018",Taken for less than 1 month,Aleve (naproxen) for Sciatica:,"I have been taking Ibuprofen for years but only helped a little 
I saw commercial for Aleve and thought I would try What a difference in my back pain and sciatica.
It even took down the inflammation in my hands",8
"May 20, 2014",,"Aleve (naproxen) for Gout, Acute:",I don't even go to the foot doctor to refill my gout medicine anymore. Those little green pills are effective but make me feel terrible. Aleve is a tremendously effective medicine for my big toe gout and I DON'T have any side effects from it.,
"August 7, 2016",,For Period Pain:,"Aleve is much more effective for me than Advil.  Like everyone else I've been dealing with extremely painful cramps my whole life.  I was taking Advil but would always end up throwing up and bent over in excruciating pain, switched to Aleve and at least now I can function during the first three critical days and not stuck in bed throwing up.  I still get bad cramps every now and then so it's not perfect but at least Aleve helps me get through it.  I usually take two in the morning; two at night. There should be a support group for woman that suffer from severe menstrual cycles. I feel like I'm the only one, but felt better after reading some of the other posts here; I'm not alone in my struggle.",7
"November 19, 2016",Taken for 6 months to 1 year,Aleve (naproxen) for Sciatica:,"I took 2 pills (220mg each) in the morning and it may take 1-2 hour before the pain is completely gone.  I've sciatica on my right leg from lower back down to the bottom of my feet.  Tickling & numbness besides the pain each morning.  First thing I did was taking 2 pills immediately.  I also practice yoga regularly..., I'm so grateful to discover Aleve for sciatica!   Will take it as long as my sciatica is here...",10
"December 27, 2013",Taken for 6 months to 1 year,For Headache:,I was prescribed naproxen by my neurologist for menstrual migraines that left me debilitated every month with severe vomiting.  I now take 500mg each morning and night a few days before my period is due.  I started taking this preventative treatment of naproxen six months ago.  I still get headaches and occasional migraines but they are less severe and I have no vomiting.  Before taking Naproxen I was having at least three days off work each month.  I haven't had any time off since starting the tablets - really have improved my quality of life.,8
"June 9, 2018",Taken for less than 1 month,Aleve (naproxen) for Sciatica:,"For several years I took Bayer Back & Body for my chronic back/sciatica pain (2 tabs, 2x day). I found very little relief. I recently started taking Aleve Back & Muscle Pain..This is my third day using Aleve Back & Muscle Pain...What a difference in just 3 days!!! I take 1 tab in the morning and it last all day!! The pain/burning sensation in my back/leg has reduced sufficiently. Thank You Aleve!!!",10
"December 7, 2012",,For Period Pain:,"Since beginning my period at the age of 12, I have experienced tremendous pain. So much so that I'd miss school, work, events, etc. I'd be in bed writing in unbelievable pain for the first day or two...on the toilet bent over in pain and dropping clots...losing weight...having absolutely zero energy - it'd take me about a week to feel somewhat normal again after each period. I've tried everything - you name it, I've tried it.  Since my new gynecologist prescribed naproxen, it has been LIFE CHANGING. The first time I took it, the beginnings of pain were gone in 20 minutes! So, for the first time in 22 years, I had NO pain with my period. That's a LONG time to have pain! I can't believe no one gave this to me sooner! It's GREAT!",10
"August 29, 2009",,Aleve (naproxen) for Rheumatoid Arthritis:,I have been using Aleve for about 6 months.  This medicine helps relieve all my aches and pains.  I'm 68 and working in food industry.  Although I experience severe body and joint pains on a daily basis I take one Aleve on the days I work and can put in 4 to 6 hours pain free.  I have not suffered any side effects so far.  So far none of the other medicines I have tried have been as effective as Aleve.,10
"October 2, 2015",Taken for less than 1 month,Aleve (naproxen) for Back Pain:,"Male - 33years old. Excruciating pain in lower SI region of my back following an aggressive 30 mile bick ride and a few days of surfing. Woke up the next morning with shooting pain in low back which progressed to shooting pains running down my glutes and referred pain to the hip flexor region. For two weeks this was extremely painful and did not subside even w/ ice applications and finally chiropractic visits 5 total and lots of Advil. 

Per the suggestion of my wife I tried aleve (2 pills for first dose and 1 pill each dose after that. After 2 pills I noticed a HUGE difference and significantly reduced pain as well as better range of motion as inflammation had gone down. I highly recommend for anyone with back pain as it really helped me!",9
"November 18, 2009",,Aleve (naproxen) for Sciatica:,"A surgeon recommended that I have a procedure to deal with the effects of several ruptured disks in my lower back.  I prefer to put off the surgery for as long as I can, and use Aleve on an almost daily basis.  It works just fine for me, and I only have an incident about every 1.5 years, and usually because I overdo the yard work. When it gets very bad, I supplement with an anti spasmodic drug for a few days.",9
"February 24, 2010",,"Aleve (naproxen) for Gout, Acute:",Really worked for me.  I had significant pain and inflamation of my big toe.  Symptoms were getting worse until I took Aleve.  Almost immediate (1/2 hr) relief from pain and within one day of use the pain was gone and by the 2nd day the swelling was reduced.,10
"April 26, 2014",,For Period Pain:,"So when I started getting my period at about 13 I had the WORST CRAMPS EVER. Like I'm talking over the toilet, in the shower, missing school, and stuff like that. Typically it was only the first, rarely the second, day Of my cycle I would stay home or come home in bed feeling like my insides were flipping inside out. So after a couple months of this my mom got worried and took me to the doctor who told me I should go get an ultrasound on my uterus to make sure that there wasn't extra blood flow, extra lining, or anything. This is mostly because I didn't have blood clots so she wanted to make sure there wasn't something that needed attention pronto. nothing came up in the ultrasound. So I got prescribed naproxen and it's a LIFE SAVER!!!!",10
"July 23, 2013",Taken for 1 to 6 months,For Period Pain:,"I'm 31 years old and I'm in the military, I always had severe and heavy periods with really bad cramps. Before I went in the military and I had my periods, I used to just relax and take maybe 2 Advil and it would pass but now everyday I have to move and workout and endure the pain and its horrible. So when I told my friend about that she told me she was in the same situation and she gave me naproxen and it was a life saver. Now I barely feel any cramps and even my flow isn't heavy anymore! I can finally focus on my job. I am so happy this medicine works.",10
"November 11, 2012",Taken for less than 1 month,Aleve (naproxen) for Back Pain:,"I bent over and suddenly experienced severe pain.  With either a pinched nerve or a pulled muscle, I could barely make it to a nearby chair.  I took 2 Aleve and applied an ice pack for the entire afternoon.  Within 45 minutes I could slowly walk and I continued to take Aleve as recommended on the bottle.  The next day I resumed my life as usual and in 3 or 4 days I no longer needed Aleve.  Wow, better than a chiropractor.",10
"May 27, 2012",,For Sciatica:,"At first I took Ibuprofen but that does nothing for Sciatica.  I went to the doctor because I could not walk and our physician said that Ibuprofen doesn't work for this, Naproxen does.  So about 500 mg and wow, it's fantastic.  Take it with buttermilk, yogurt, or a yogurt drink to keep your stomach in good shape.",10
"March 3, 2020",Taken for 2 to 5 years,For Back Pain:,"I've taken prescription 500mg Naproxen twice a day everyday for 4 years.  If I miss a few days my back begins to hurt.  On the 1-10 scale maybe 4.  If I go a week then it's a 7-8 and I can't straighten up or walk with pain.
If I take 500 mg twice a day I can go all day, work hard and do it everyday.
I fear where I would be without Naproxen.
A few stomach problems now and then but prilosec everyday takes care of that.",10
"December 29, 2019",Taken for 1 to 2 years,For Osteoarthritis:,"These work really well for me, reading these reviews I see they are not working for everyone. If I wasn't taking naproxen I couldn't walk to be honest. I'm waiting to have my spine fused due to my illness. My symptoms are back ache (gone) blood flow loss to legs (gone) severe tingles in legs (gone) numbness in hands and feet (gone) severe sharp pains on most movements (gone). For me this drug is great and I don't have the side effects as others have described. Give them a try it could work for you also, I wish you luck.",10
"March 24, 2009",,Naprelan (naproxen) for Sciatica:,"I am currently taking Celebrex and Prednisone for my Sciatica, 12 days now and no relief. Desperate for pain relief I took 1 naproxen 500mg. Thank God I did.
 
The pill is a little hard to swallow, and it may make you a little nauseous but it will definitely ease the pain and will allow you to get some much needed sleep.",9
"July 25, 2013",,For Period Pain:,"First let me say how bad are the cramps for me, they are the worst, like nothing else. I just cannot function in those days, legs feel like heavy stones that can't be moved, feeling dizzy and I don't want say how bad the stomach cramps are. So I've been taking ibuprofen for last year, it helped 3/10, then I decided to try Midol, which gave me worse day of my life, I took it in an empty stomach and I didn't get rid of ANY pain, it got worse and I threw up like 10 times in that day. So I went to my doctor who gave me naproxen. I got my period 6 hours before and I took it immediately, the pain to away in 20-30 mins and I feel wonderful now, I don't even feel I'm on my period. Also I avoided caffeine in last 10-12 days, and exercised LOTS.",9
"August 6, 2014",,Anaprox-DS (naproxen) for Period Pain:,"Since high school I had terrible cramps/fatigue and nausea. I wasn't able to go about my normal activities. Until I switched doctors and she prescribed me the naproxen. I take it a few days before I get my period (when I get ""warning"" cramps). By the time my period comes I have no nausea and no fatigue, the cramps are still there but nowhere close to how bad I feel without the naproxen. I have to take this with food, because if I don't it messes with my stomach. Easy to take.",10
"September 8, 2013",,For Back Pain:,"Naproxen really helped my lower back. I have no pain after taking this medicine. Just remember, everyone's body is different and will respond to medication differently. Naproxen seems to working for a lot of people.",10
"November 27, 2015",,Aleve (naproxen) for Back Pain:,Female 20 years old - I recently started a new job as a cashier. I started to experience pain after having to pick up heavy packs of water bottles and other heavy items. The pain was all in my lower back. I went to visit my chiropractor and that would alleviate the pain until I went back to work. I would rate my pain on a scale from 1 to 10; a 7. It was a sharp stabbing pulling pain in my lower back and it even hurt to take a deep breath. Today was the first day I took Aleve when I went to work and my back pain was almost completely gone. I was able to move around without being uncomfortable. I am extremely satisfied with the results.,9
"February 18, 2020",Taken for 5 to 10 years,For Osteoarthritis:,"I have been taking two 500 mg naproxen  tablets per day for several years due to osteoarthritis, back & knee pain. I had no side effects for a long time, but in the last 2 years I have had issues with the skin on the back of my hands. I am a farmer, so daily work with my hands around sharp objects (like Barbed wire) is a constant. I began to get cuts and small lesions on the back of my hands that were slow to heal and then left shallow red scarring.  I began researching my condition and came across ""Nonsteroidal anti-inflammatory drug-induced pseudoporphyria"". Symptoms of this condition exactly describes my condition. This is listed as ""a relatively rarely reported condition"", and therefore not commonly listed as a side effect of taking naproxen. I have discontinued naproxen and will be meeting with my Dr. to determine another anti-inflammatory for my condition. I hope this information helps so that someone who has this problem doesn't suffer for years with it like I have.",4
"December 22, 2014",,For Period Pain:,"I was prescribed 500mg a day for a shoulder injury, I am so used to dealing with terrible period pain and extremely heavy flow that it wasn't the reason I went to see a doctor. Not only does it help with my shoulder pain but my period has completely turned around into an experience I do not dread and worry about. I am so grateful to have been prescribed it. I don't have to put my life on hold to hide at home in pain and all around feeling terrible. When I started getting my period until I graduated high school I would always end up missing a day or two because of how much pain I was in and how heavy my flow was. When I worked I would dread the days with it and a lot of the time miss work because of it.",10
"November 2, 2018",Taken for less than 1 month,For Sciatica:,Prescribed 500mg twice a day of naproxen along with codeine and oramorph for my first sciatic episode.  I stopped the oramorph after a couple of days as I hated the way it made me feel and the codeine lasted about 5 days. Now had 5 days of just the naproxen. The pain is unbearable in the morning and don't know if the pain goes to a manageable level because I start to move or because my morning dose has kicked in. I'm getting some weird side effects like numb fingers and bad stomach pains so I don't know if i should quit taking the drug to see if i still need it or not?,7
"May 6, 2013",Taken for 5 to 10 years,Aleve (naproxen) for Back Pain:,"Ibuprofen bothers my stomach so I tried Aleve/naproxen some years back and as to this day it works better then anything else, over the counter, that I have taken. It may not take away all the pain but it takes that evil edge off so the pain becomes less likely to make me vomit. I take Aleve in the morning to prevent the pains and again when I do get the pains. ",8
"November 22, 2011",,Aleve (naproxen) for Rheumatoid Arthritis:,"I started taking Aleve for my Arthritis in my hand and the pain was gone but after taking it for about 8 days I noticed swelling in my feet, which was abnormal for me. I am 34 and in good health and have never had swollen feet. I then noticed the next day my feet and hands were swollen. I finally put 2 and 2 together and realized I was allergic to the Aleve. I stopped taking it and haven't had swelling since.",4
"February 28, 2013",Taken for 1 to 6 months,For Rheumatoid Arthritis:,I started taking this medicine about 6 months ago.  I was recently hospitalized for blood in my stools.  It was found out that Naproxen was the cause. I will have to find another medicine to help with my rheumatoid arthritis. I was not aware of the side effects.  I believe that this information should be more and more publicized. ,5
"December 30, 2015",,Naprosyn (naproxen) for Back Pain:,"I had been suffering with sciatica for a number of years, when it suddenly worsened.  I started getting shooting pains and severe weakness in both of my legs.  After one dose of 500mg I was able to sit comfortably and walk without the worry of one of my legs giving out from under me",9
"August 12, 2013",Taken for 1 to 6 months,For Back Pain:,"Absolutely amazing! I was suffering from severe back pain, and a pulsating sciatica from some kind of disc injury (no idea, didn't have MRI). The pain changed daily. On some days, I couldn't leave my bed, and on others, I could walk, but only for a short amount of time. I went to my family doctor, and she prescribed me some Naproxen 500MG tablets. I took the dosage, and the pain was gone in absolutely no time.

The dosage of 2 Naproxen Tablets will last me 2-3 days before the effects wore off. However, I still had difficulty walking for a moderate to long amount of time before the sciatica came back, and my lower back felt weak. No side effects either, so that's a plus.",9
"August 5, 2020",Taken for less than 1 month,For Sciatica:,Have had Naproxen before and it was useless for sciatica pain. Used diclofenac and it was great but now I am 64 doctor won't prescribe it and has given me Naproxen and said to take paracetamol - I am now on my 2nd week of agony and can't stand up straight or walk far.,1
"November 3, 2009",,Naprosyn (naproxen) for Rheumatoid Arthritis:,"I've had RA for 4 years.  500mg naproxen tablets were my first treatment.  They definitely helped the day get better and be able to function daily.  However, they did not stop the morning stiffness and pain or the build up of inflamation in my body.  I definitely needed a more serious drug to stop the progression of the disease.",5
"April 22, 2016",Taken for 6 months to 1 year,For Headache:,Suffer from severe headache and usually no medicine works- but by chance on holiday I had one of these that belongs to my mum and I couldn't believe how quickly it disappeared as soon as I feel a migraine coming on I take naproxen now and it goes quickly,10
"January 8, 2014",Taken for 1 to 6 months,For Period Pain:,My experienced was my period was non-stop for almost 2 month. I went to my gyn and prescribed me Naproxen for pain. It was so effective that my period went away in a week. Now when my period comes I'll take it right away. Thanks Naproxen.,9
"December 10, 2014",,Naprosyn (naproxen) for Back Pain:,I've been using this medicine on & off for 25 years. I get muscle spasms every few years & virtually drop to the floor with pain. 2 to 3 days with this stuff & I'm back swinging again. Better than Forte or Voltaren by a long shot.,10
"September 20, 2014",Taken for 1 to 6 months,For Osteoarthritis:,"I am 51 yrs old with advanced Osteoarthritis in both hips, and on the surgery wait list to have THR.  Naproxen is quite amazing for me at controlling OA pain.  So far I only take it when I have upcoming situations where I will need to walk alot.  For these situations I'll take Naproxen 1-2 days in advance, 2 x 500mg tablet daily.  It makes a huge difference.  If I didn't worry about stomach or intestine damage I would take it continually.  Other days, I try to get by with low doses of ibuprofen.",8
"April 23, 2019",Taken for less than 1 month,Aleve (naproxen) for Back Pain:,I have been taking norco 5mg a day for a bad lower back pain and of course this really did remove all pain. But many countries don't have this drug so my pharmacy said to try Aleve. I was so surprised that I still can't believe that it took 95% of my pain away. I travel with Aleve and won't have problems in bringing drugs into other countries.,10
"August 29, 2015",,Aleve (naproxen) for Headache:,"Wow has this changed my life. I was a long time sufferer of migraines and headaches. Advil and tynelols are like candy to me now and don't do a thing to relief pain. Even heavy prescribed migraine drugs by my doctor did not work as much as Aleve does! It is simply, for my part, miraculous! It works 99.9% of the time. It works to prevent a headache when I feel it coming. It also works to break the headache or migraine when it is already ongoing and painful. And most of the time, a single pill works. I have to say I really hope my body doesn't come used to Aleve and therefore making it less effective. So far, after a little more than a year taking Aleve, it still is perfectly effective in my case. Don't hesitate to try!",10
"January 20, 2015",,For Period Pain:,"My period has been awful since the first time I got it at age 13. I've experienced a variety of symptoms each month that make my period unpredictable. Some months I feel fine and maybe just get a pimple, other months I'm a crying mess, there have been times where the pressure on my lower back and abdomen is so intense that I cant move, nausea, headaches, joint pain in my knees, etc. It got to the point where when I was 15 I started birth control. The birth control made me extremely emotional so I stopped and continued with Advil, Midol, I tried bananas, warm compresses, exercise. Nothing worked. I started using naproxen and within 10-15 min my symptoms are alleviated and I can go about my day.",10
"August 4, 2020",Taken for 6 months to 1 year,For Period Pain:,"When I take naproxen for period cramps, it takes around an hour for it to kick in. My doctor recommended I take it every 12 hours (twice a day dose) but the pain comes back in less than 8. I do not think it would be safe to take it 3 times a day, so I suffer in pain for a few extra hours until it is time for my next dose. My cramps hurt the most in the middle of the night because the medicine wears off and I am sometimes woken up out of my sleep because of it.",4
"November 2, 2014",,"For Gout, Acute:","Have been suffering from acute gout attacks for about 6 years.  Usually 1 attack per year that requires me to stay off my feet for a day or 2.  I have taken Indomethacin,  Colchicine and Colcrys with varying degrees of relief and started Allopurinol about 3 months ago.  In all my research over the years, I never reviewed Naproxen.  The last attack happened about a week ago and I cycled through my last few Colcrys with barely any relief.  A trip to Walgreens for Aleve liquigels and about 2 hours later I had ~70% reduction in pain.  I've been managing it with a scheduled dose for a few days now and the pain is nearly gone.  Still some swelling, but getting better each day.  This regimen has been more effective than any prescription medication.",9
"December 29, 2014",Taken for less than 1 month,For Back Pain:,"I have been suffering from back pain for many years, mainly due to heavy contact sports and work related lifting, and lately find it difficult to walk for long distances without being doubled over in pain. I would struggle to stand up from a sitting position. The pain would go down my legs and into my abdominal region, and have been trying all different kinds of treatment from gels to moderate pain killers all with different degrees of success, but none that actually took the pain away completely, and not for any length of time. I was eventually prescribed Naproxen and in less than a day I felt a different person. The pain has gone completely from everywhere. It's a new lease of life and can look forward to doing things again pain free.",10
"August 19, 2012",,For Period Pain:,"After 2 decades of seeking relief from bad menstrual cramps and who knows how many gynos (who either accused me of drug seeking or threw narcotics at me, then branded me noncompliant for refusing narcotics) I found a doctor who gave me naproxen. He explained something about its blood thinning properties and how it thins the blood before it sheds from the uterus, as where blot clots the uterus when the shed. MADE SO MUCH SENSE! Especially after the wonderful results. Flow is extremely heavier for the 1st 2 days, then barely a streak for the next 5 days, but NO pain, not even a pinch! Miracle! Taken 3 days before also completely eliminates sore breasts and bloating. If I didn't bleed I wouldn't even know I was having a period. No joke.",10
"February 2, 2021",,For Pain:,"I’ve been using naproxen tablets for three months until one night I was sick, my vomit had red blood in it and blood that was real black colour and I had stomach cramps. I saw my doctor and he said I have had a bleed in the stomach to come off of the tablet straight away. The naproxen tablets had caused a bleed. I am now on another lot of tablets to repair my stomach. Stay away from these tablets, do not use.",2
"April 15, 2016",,For Headache:,Third month on naproxen and can't believe how much it has changed my life.  I use to suffer with migraines and tension headaches a week before my period lasting throughout my period leaving me in incruciating pain since taking naproxen my headache pain has reduced by 80%,9
"August 17, 2020",Taken for less than 1 month,For Pain:,"Suffered for 4 months with painful knee causing me to limp badly. Was prescribed naproxen twice daily whilst awaiting scan. 
Day 1 eased pain slightly
Day 2 eased pain dramatically 
Day 3 pain gone.
Have been taking for about 3 weeks without pain have not taken any today and still no pain!
An absolute God send for me!",10
"June 13, 2020",Taken for less than 1 month,Aleve (naproxen) for Back Pain:,"I had real lower back muscle pain for two weeks. Dr gave me Cyclbenzaprine-- not good. Saw an Aleve commercial on TV, it was a back pain reliever. Within 15 minutes of taking it sharp pain was reduced dramatically. That's all I can tell you. I still am on it and have no bad comments.",9
"August 9, 2016",,For Headache:,"I'm 40 and have been a long life sufferer of migraines especially 3/4 days before my period. My migraines would last 4/5 days with the first day not able to function at all. I will be looking for a cool, dark and quite room to lay my body in and not to speak.. Since I was prescribed Naproxen 250 mg, I started taking 2 just as I start feeling a tingle of it coming. It doesn't stop it all together, but it eases it. It made my life a lot better. I get a lot less episodes of migraine that don't last long. I also made a change in my life style. I make sure I avoid stress when I can, I do take at least a day when I don't do anything but chill, not even housework. My diet has always been very healthy and balanced so I know it's not it's not that.",9
"October 8, 2018",,Aleve (naproxen) for Osteoarthritis:,"2013/14 took 2 Aleve every a.m. for knees. I found myself feeling weak - like going to pass out. Went to primary next day.  Checked blood count and did the rectal blood. Told my SO to get me to emergency now.   Blood count 7 and needed transfusion. Had endoscopy.  Released after 3 days -blood normal. Told to see gastro upon my release. Over the next week had colonoscopy, intestinal exam, and lastly capsule endoscopy - swallow a small capsule camera to film 8 hours going through my body.  Dr and I reviewed the results. Three places in intestines indicated bleeding - I could see them.  He asked me food or meds I was taking - Aleve had caused the bleeding as it is a  NSAID. I can't take any NSAID and nothing with aspirin in it or I may bleed.  So now I basically live w/o taking anything for pain.  ALEVE - Read the package - very small print - may cause BLEEDING.",1
"December 29, 2011",,"For Gout, Acute:",Aleve works better than anything I've tried. Like other users have stated take 3-4 initially ever 8 hours then reduce to 1-2 ever 8 hours until gout attack is completely gone.  It took 1 day to reduce a full-on gout attack to a state where it is barely noticeable.  ,10
"March 16, 2014",,Naprosyn (naproxen) for Pain:,"I had ongoing pain and swelling for a full year after knee surgery to repair three rips in my right knee. It felt like bone rubbing on bone, felt hot to the touch with swelling  After going through narcotics and Motrin for swelling, I worked on accepting that I would be dealing with this for a long time as a chronic condition.  After my 1st dose of 500 mg of Naprosyn, it was a Godsend. For the 1st time in a year, my knee actually felt normal.",10
"August 12, 2011",,Aleve (naproxen) for Period Pain:,"This medicine saved me.  Starting about the age of 15 I began to experience menstrual cramps for the first time.   It was the very worst pain I had ever felt at that time.  Not content to only hurt in my lower abdomen the pain radiated all the way down the front of my legs to my ankles.  I couldn't sit still.  All I could do was pace back and forth crying.  I couldn't find a single pain reliever that worked; we had the usual in the house, aspirin, ibuprofen, even Midol.  Finally my mother became so worried she took me to the doctor.  I thought I was going to have to be on some kind of strong prescription medication.  What does he do, he returns to the room with about 50 samples of Aleve and it has been my miracle drug ever since.",10
"June 1, 2013",,For Sciatica:,"I have had very big problems. Been taking Norco and muscle relaxers. I stopped taking the Norcos..didn't help!
I went to the ER and was given naproxen and soma. Thank you. After two 500mg pills and 1 day of taking them, I can move. No pain in my hip and I can work. ",10
"November 1, 2015",,For Headache:,"I have been using this drug for 2 years now. Every time I feel like I am starting a migraine, I take one pill and it kills it in no time. I have not gotten a single episode of migraine since I started to take this pill. It is magical. I used to have really bad migraines that made me vomit.",10
"April 5, 2020",Taken for less than 1 month,For Tendonitis:,THIS DRUG HAS RUINED MY LIFE. In fact I might be dying from The adverse effect it had on me  I took it for tendonitis in my wrist. It reduced the pain but gave me a VERY SEVERE ADVERSE EFFECT. For the past 7 months my head is constant pain. I have numbness / tingling in my head. Also both of my hands developed numbness and pins and needles sensation as well. I have been to 3 neurologists and I'm trying to figure out how to undo these crippling effects that Naproxen has had on me. I can't exercise or basically do anything because it hurts my head. It feels like my head is constantly being squeezed. I also experience dizziness and vertigo if I try to be active. Be very careful if you take this drug. It has destroyed my life. Try any other anti inflammatory  medication before this one. If you are on a benzo be very careful taking this medication. NAPROXEN HAS DESTROYED MY LIFE.,1
"November 4, 2019",Taken for 1 to 6 months,Aleve (naproxen) for Pain:,"I have taken Aleve for several different pain conditions knee pain, back pain,  joint pain, headaches  and it does absolutely nothing. I get more pain relief from taking nothing! Sad! This medication is a waste of money.",1
"October 29, 2019",Taken for less than 1 month,For Back Pain:,"Would only recommend taking  naproxen if you’re in extreme pain. It works for that very well. But I had a horrific experience with the side effects of Naproxen (OTC). An hour after taking it I felt stranger than I have in my entire life: dizzy, sweating PROFUSELY, lightheaded and sort of as if the room was spinning, felt the need to run to bathroom but nothing happened. Spent that night feeling chilled and bizarre with a pounding heart and SEVERE anxiety. Exactly a week later and I still feel very anxious and lightheaded at times. It took several days for most of the side effects to go away. Can still feel it seven days later. Worked well for my mom’s shoulder pain but gave her strange side effects too.",
"July 1, 2015",Taken for 6 months to 1 year,For Bursitis:,I was prescribed Naproxen 500mg for my bursitis behind my knees in both legs. I am a college athlete and was having many problems performing at the necessary level with the pain in my legs--Naproxen helped immensely. Felt very nauseous if I did not take this medication on a full stomach!,7
"September 19, 2009",,For Bursitis:,"I've had frequent steroidal shots in my shoulder for bursitis, but my doctor recommended trying naproxen sodium instead this visit.  I am very pleased with the pain relief, as long as I remember to take it!",9
"February 29, 2020",,Aleve (naproxen) for Back Pain:,I've worked hard all my life. I've had disk problems in my back for 4 years now. My doctors given me this and that...but nothing really worked. I've been using Aleve now and it really takes the edge off!!!,10
"October 1, 2019",,For Back Pain:,"Told my doctor Naproxen does not work for me.  He said yes it will.......pain before was 7-8 out of 10 now after taking it pain still 7-8 out of 10.  I have been up for heading towards 48 hours without sleep due to excessive pain and discomfort.  Disappointment cannot begin to describe.....
This medication was useless the past two time it was prescribed to me and here I am again with a useless prescription and no pain relief. I may need to find a doctor that listens to their patients.",1
"August 26, 2018",,For Rheumatoid Arthritis:,"I have had rheumatoid arthritis for over 25 years. I have always found that if I take only 200 mg naproxen or ibuprofen with water and some food an hour before going to bed, I have very little morning stiffness in my hands or feet. It makes a world of difference to me taking it before bed time.",9
"November 15, 2019",Taken for 1 to 6 months,For Period Pain:,"I have been suffering with period pain and heavy bleeding for 3 years (since the birth of my last baby).  I read a study on using Naproxen at the onset of your period for 5 days to help with pain and bleeding, so I decided it was worth a try.  I took 500 mg twice a day. The results are nothing less than amazing!  No clots, no need to stay at home and near a bathroom, no sleeping with towels under me at night, no pain and stress.  I feel like a normal human being!",10
"October 30, 2011",,Aleve (naproxen) for Back Pain:,"Two Aleve a day helped my back pain, but over time it affected my stomach. My gastroenterologist knew immediately what my problem was and I've stopped Aleve entirely. I had almost a year of constant nausea and pain until I quit taking Aleve.",2
