Date,Time Taken,Condition,Review,Rating
,,Lamictal (lamotrigine) for Bipolar Disorder:,"Have successfully managed my bi polar since 1999 with Lamictal. On 400 mg/day for last 10 years. The only issues sometimes get dizzy on step ladder (I avoid) blurry vision late night, a little flat, increased sex drive. I went undiagnosed for 35 years. This drug has saved my life! I’ll take a little flat over crying for days at a time or 5 days straight, no sleep, cooking and repainting and redecorating 3 rooms in the house. In those 5 days. That including DIY furniture and window treatments and yes, spending $ I didn’t have! I have several businesses, cash in bank, bills paid, fairly reg sleep. Lamictal saved my life after my divorce 21 yrs ago.",10
Sb123,"October 25, 2019",For Anxiety:,"I have struggled with anxiety off and on over the years. I tried SSRI’s in the past and those never gave me much of any relief. I got to a point where I was in a downward spiral of anxiety (crazy thoughts, wild mood swings, uneasy digestive issues, sleep issues, etc). I decided to give medicine another shot. My doc prescribed me lamictal and now on 100mg. I am MUCH more stable. I don’t have the crazy intrusive thoughts as much and my perspective on life is much more positive. It did not make me dull or any other negative side effect. It just gradually allowed me to be myself again and enjoy life. Please do know that medication in general can absolutely help. Do not listen to outsiders who do not understand how you feel. Medication is a personal option that you should feel no judgment about. If it helps you then that’s all that matters! It may take awhile to find the right medication for you but it is worth it. Never give up. There is something that will help you.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I've struggled undiagnosed with Bipolar2 for years- many times having it labeled and treated as depression (Prozac, Wellbutrin, etc, all of which helped the depression but made me manic).  The one time I was told it could be bipolar 2 at age 25, the diagnosis scared me (the idea of being on medication for the rest of my life did too) so I decided to go off of all meds and ""handle it on my own""

7 years later, after multiple tumultuous relationships, tons of $ spent shopping, and some extreme bouts of both depression and hypomania I finally started on this medication Lamictal.  I have been on it for about 6 weeks and am up to 100mg and I finally know what ""normal"" feels like.. and it's not racing thoughts 24/7 or snapping on loved ones at the drop of a hat.  

Almost no side effects.  ",9
,,For Anxiety:,"I have taken lamotrigine for years with no side effects. It takes approximately 1.5-2 months for lamotrigine to take full effect. Side effects are typically avoided by starting at very low doses (I started at 25 mg once a day) and slowly increasing the dose over time. Taking higher doses too rapidly or without physician consultation increases risks of side effects, and you shouldn't expect to see full results within a couple days or even a couple weeks. I hope this helps someone feel less anxious about trying out this medication and feel more informed! (I am educated on this topic because I'm an MD student.)",10
JJ,"December 22, 2019",Lamictal (lamotrigine) for Bipolar Disorder:,"I've struggled with bipolar ii since I was a teenager, unfortunately it was misdiagnosed as depression until I was in my 60's. As you can imagine I've been prescribed everything available beginning first with what were called ""tricyclics"" which were medications like Mellaril (thioridazine) Elavil (amitriptyline) to the SSRI's such as Prozac, Zoloft, Lexapro Celexa and several others. I took other types of medications for depression or anxiety too many to mention all with varying and limited levels of success some were helpful for a time others not at all that was until I was diagnosed bipolar ii and prescribed lamictal. This medication along with psychotherapy has had a profound effect on my life I have to say I've never felt better",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"When I started taking it I had the worst side effects (dizziness, diarrhea, blured vision, nausea). Some days, I couldn't go to class. I started with 25mg and went all the way to 150mg. But it is really working. I've been taking it for 4 months and I never been this stable in my life. I feel good, better than ever.  I underestimated the illness, but medication is the key. Therapy helps a lot too.",10
,,For Depression:,the first day on  lamitrogine has been an absolute life changer! I was having severe hopeless depression paired with anxiety. My moods seemed to shift from one to another triggered by hormones or stress. It developed into eating disorder over time untreated. I've tried every SSRI and off label blood pressure meds etc. I always have them a good run and they always had a lot of side effects and made my original symptoms worse. Then after research I asked my psychiatrist for lamictal. I had 0 side effects!! I started at a dose of 25mg for 2 weeks and am at the end of 2 weeks on 50mg. I felt the difference by the second week of 25mg and even more at 50mg. I have felt so hopeful and excited at times in perfectly healthy ways and depression and anxiety is all but gone. I don't feel doped up at all just a better version of me than I have ever felt. Also unlike SSRIs this doesn't impact sex drive and if I get pregnant it's safe. Love and plan to stay on it for a long time. It's worth it!,10
,,For Depression:,"Lamictal has changed my life!!! I have had medication resistant depression for over 30 years. I am now 60. Have been on every med out there only to keep from being suicidal at best. Was on abilify for 3 or 4 years with Viibryd. Gained 30 lbs and cholesterol went sky high. So as a last resort decided to try lamictal. I am on 150mg and 30mg of Viibryd. It has totally changed my life. I am no longer depressed at ALL!   My friends and family are amazed at the difference they see in me. I am socializing with people and taking care of myself again. I think I feel better than I did before being diagnosed with depression. Now I know we all react to meds differently but if you are having trouble finding something that works this is worth a try. I have major depression,  not bipolar. I say that because most things I read about using lamictal was to help with bipolar. But it can also help as an add on to your antidepressant. I thank GOD I found out about it.",10
,,For Borderline Personality Disorder:,"I was first on topamax for my borderline personality disorder which my body didn’t agree with and almost shut my liver down. I got Wellbutrin XL 150mg, which helped but made me super angry, my doctor then added in Lamictal 100mg (starting from the lowest dose and gradually increasing) and it cancelled out the anger they Wellbutrin caused and the two work phenomenally well  for me. Like a lot of people on here they say they felt the effects immediately, I can vouch for that. It put my brain into a zen state and I got my laid back nature back. Mind you this only worked for me along with seeing a therapist and working out constantly. Medication helps set the bar, but you gotta do the work to get to where you want to be.

I believe in you.",8
J,"March 2, 2021",For Anxiety:,"I started on lamictal as I have bad mood swings, depression, severe anxiety, and  OCD type thoughts. This medication was a life saver, I thought. I started at 25mg and noticed very positive changes. My anxiety got better. When I went to 37.5mg my anxiety stopped, OCD thoughts stopped, depression stopped, I was so happy I thought I found the medication for me. When I went up to 50 mg I got a small rash, my anxiety and thoughts spiralled out of control, my depression worsened, I felt suicidal. Now I am trying to get off the medication. I’m very sad. Has this happened to anyone else?",4
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I am an extremely sensitive person and my depression is easily triggered. I have BPD, PTSD, MDD, and ADD(inattentive). I do not have Bipolar Disorder, but this medication has helped me tremendously with mood swings. I used to have a mental breakdown almost every day from intrusive thoughts. I am feeling much better now. I am taking a low dose of only 25 mg. I request to start on the lowest dose possible of any medication and work my way up. I notice a lot of people are leaving negative reviews because of side effects. I have had no negative side effects and I do not plan to increase my dosage. Remember that the higher the dose you take of any medication, the greater the risk is for side effects. I would recommend giving this medication a chance!",10
Anonymous,"October 2, 2019",Lamictal (lamotrigine) for Bipolar Disorder:,"My whole life I was depressed. I started using drugs at age 16. Which led to a 17 year battle with depression and addiction. It was like no matter where I was my mind would tell me I didn't belong. I've been taking this medicine for a year and a half. It is NOT a coincidence I got sober and haven't picked up a drug since. Its not a coincidence I'm a mom again, a friend and a daughter. This medicine allowed me to breath and swing with the flow of life optimistically. Its mild so its perfect. This medicine saved my life. Literally.",10
Lynny,"March 4, 2021",Lamictal (lamotrigine) for Bipolar Disorder:,"Since taking lamictal 100 mg daily, I seem to be sharper, can multi-task again and my energy level is very steady.
Emotional pain and distractability are much more controlled.
I feel like myself again. I HOPE IT LASTS",9
,,Lamictal (lamotrigine) for Bipolar Disorder:,After struggling off and on with depression this medication Lamictal literally saved my life. I bounced from antidepressant to antidepressants praying something would work but nothing did. I had everything in my life so it was so frustrating. It felt like my soul had been sucked out of me. I no longer wanted to live. This disease cost me a marriage a son and a job. Life is so good now. I owe my life literally to Lamitcal. Please don't ever give up!!!!,10
Kalia,"May 12, 2021",Lamictal (lamotrigine) for Bipolar Disorder:,"I start taking lamotrigine 2 month ago, this drug is a life changing !
I had mood swing all the time, they went  10 (from scale 1-10) to only 1.
My brain was speeding and thoughts were running  and now I have clear brain - no crazy thoughts.
Zero sides effects ...only first week of taking I was more thirsty than usual. That’s it.
I can call it magic peel!
Highly recomended.",10
,,For Depression:,"I'm diagnosed ADHD, anxiety, depression and PTSD and have been in a very dark place for months and very depressed and anxious and suicidal thoughts. I'm on several medications for months, Venlafaxine, Wellbutrin and Vyvanse which are little to no help. Lamictal was added and I'm now on 100 mg daily in the morning and my depression is entirely gone and so is my anxiety. I don't get mood swings anymore, I am calmer and less pessimistic. I've had no side effects except some minor itching upon dose increases lasting for a day or so. I don't feel emotionally numb. I just feel like a calmer, more logical, happier version of myself. I've tried so many medications over the years for my depression and anxiety (over 20) and this is the first one to truly help. A miracle medication for me. It can take time to find the right medications for you but don't give up hope.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I’ve been on Lamictal for about 5 months. Before getting on Lamictal, I was at my lowest I’ve ever been mentally. I was barely sleeping, had nasty angry outbursts on a near daily basis, and had suicidal thoughts. It took about 2 months to start seeing a difference but I’m so thankful that I’m on this medication. It changed my life, I feel like myself again. I still get those angry outbursts sometimes but they aren’t as bad. I also haven’t had a suicidal thought since getting on it.",9
,,For Anxiety:,"This made life so much better. I think my doctors prescribed every SSRI and SNRI there is. Each one made me sicker than the last one. A couple of them made me miss weeks of work at a time. I started on such a low dose that it made no difference, I was just happy it didn't make me sick, so I kept taking it. Finally I went up to a full 25mg and I will never forget the first time I felt this stuff kick a panic attack's ass! I literally felt it stuff it down and smother it! 6 months later I'm up to 50mg and on the rare occasion I feel an attack coming on it is never as severe as it used to be. After doing some reading on this med, it is the last resort for anxiety. If You get sick on anti depressants, stop messing around and demand your doctor prescribe this. I was worried that this was a seizure med and was skeptical, it has exceeded expectations. I doubt there is anything that cures anxiety, but lamotrigine sure works for Me.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"Lamictal changed my life ! I’ve tried many bipolar meds as a teen - trileptal, seroquel , trazadone etc ... none worked and I developed terrible acne and side effects. So I went off bipolar meds and took only Zoloft for almost 10 years . Fast forward - one day I realized I couldn’t get out of bed and needed help. I was insistent on trying a medication that wouldn’t make me gain weight so I read a lot of reviews on here and decided to try Lamictal. It absolutely changed my life - the ONLY bipolar medication that has worked for me. It is like night and day - looking back at my precious behavior is baffling to me now.  Now no blow ups, I can function normally, no weight gain. I noticed a difference literally the day of taking it (I’m very sensitive to medicine and in tune with my body ). Again - this medication changed my life . Thank you Lamictal !!",10
caro,"February 3, 2020",For Anxiety:,"Lamictal completely changed my life. Before I started it, I'd have bursts of anger due to pent up anxiety over the nit-pickiest things. I thought I was just a jerk and didn't understand why.

Quickly after I started taking Lamictal (250mg for anxiety) I noticed a huge difference. I felt relaxed for once. Not euphoric, or like a different person, just... Normal! Calm, collected, but still sharp.

Lamictal was like a valve that drained my anger out when I was just about full of rage.

I personally haven't noticed many side effects, at least none that I don't already have from SSRIs. Loss of coordination is a big one and I only get tremors if I haven't eaten but that might just be low blood sugar.

In conclusion, being someone who suffers from chronic general anxiety disorder and major depressive disorder, I can definitely see Lamictal being an effective long term medication. Works great for me.",10
,,For Depression:,"I’ve been on Lamotrigine since mid-August. I titrated up slowly and am at maintenance dose of 200mg daily. I was on every depression/anxiety medication you can think of for the past 20 years. I had to wean off those as lamotrigine was introduced. So far it has made a remarkable difference in my moods, my depression, my motivation. I love not laying in bed all day. Going on it was not easy however. My anxiety was high, migraines, fatigue, insomnia. These have resolved but it’s taken 3 months. I’m thrilled at the difference it made in me and pray it continues to work! Remember it took months and 200 mg dose until I felt better.",9
,,Lamictal (lamotrigine) for Bipolar Disorder:,"My highs aren't as high, my lows aren't as low, and for the first time in my life I actually have the motivation to accomplish things. Really the only way I can tell if I am manic or depressed is by the amount of sleep I can get. I am so grateful for this drug. I'm on 200mg once a day, with very few side effects. I have wacky dreams and dry mouth, but that's about it-- I've just gotten accustomed to drinking more water, lol.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I am 52 year old male and Lamictal was a God send. I was in a bad way for a few years until a new doctor said, ""We can fix this"" and prescribed Lamictal.  Within a week, I was back. I was able to get on top of and manage my depression,  anxiety and anger. It was so great to be the person I wanted to be instead of the angry mess I had become. That may sound overly dramatic,  but it's true and may speak to some of you.",10
,,For Borderline Personality Disorder:,"Requested to try this med to my prescriber based on my own research and knowledge of the positive reviews from those taking it for Borderline Personality Disorder (BPD). I must say that although I was not expecting it to help me this much, and I never wrote reviews for anything... I want to help others know how incredibly life changing lamotrigine could be for you like it is for me! I feel so normal! Never did I think I would feel this great. I want everyone to feel this relief. I can control my negative emotions now!! If you are on the fence about it, I say go for it !!!",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"If you have Bipolar Disorder type II, please learn as much as you can about this condition from professional, reputable sources so you can make informed decisions about treatment and management options. This is a treatable, manageable illness, take hope in that.  
After 20+ years struggling to ""cure"" myself ""naturally"" & being miserable, dangerously depressed & dysfunctional, I finally decided to try psych medication.  
I found a doctor who SPECIALISES in this disorder and is up to date with the latest research findings in this specific condition. If you don't like your current GP or Psych's attitude, find someone else! I started a combo of Lamictal (AM & PM) & Seroquel (Only PM - makes you drowsy). I kept a daily mood diary & it took 3 months for my mood to fully stabilise. To help the bipolar depression, we added bupropion & N-Acetyl Cysteine, a supplement (all based on clinical research!).
For 5 years now, I’ve had my life back.  Deciding to take this medication saved my life.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,Lamictal has singularly saved my life. I have BP 2 with rapid cycling with my dominant problem as depression. I would have hypo episodes but fewer than depressive episodes. First week on Lamictal I had a bit of a dull headache but that is it. Within a week the heaviness of depression was lifting. Now 10 years later I have zero headaches from it and zero side effects. Maybe I am a little less empathetic but I love this med. I have zero depression with maybe 1-2 brief episodes of depression per year. It never lasts and when one starts I may cry and feel really down but I feel it kick in and stop the endless spiral. I love this med.,10
,,Lamictal (lamotrigine) for Seizure Prevention:,My sister died   today due to side effects from this drug.  It is ruthless.  She lost 2 layers of skin over 90% of her body as it caused  Stevens-Johnson syndrome or toxic epidermal necrolysis.  She was bandaged from head to toe and blood seeping through the bandages.  Though claimed this outcome is rare.  I encourage you to consider other options.  My sister was healthy and today lost her life due to the side effects of this drug that should not be on the market.  Think twice.,1
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I did quite well on lamictal  for my Bipolar on  150mg. Upon reaching 200mg, I had unbearable anxiety, constant panic attacks, headaches, horrible nausea, and vomiting. I would recommend easing up gradually and staying at a lower dose if possible.",7
,,Lamictal (lamotrigine) for Bipolar Disorder:,"Ten years on antidepressants. Numerous breakdowns with family,  jobs, courses, my wallet and the bottle. Spent the last 2 years going to work only to come home to sleep. Lost my two children. House and car a tip. Drove literally everyone away. Slowly came to the realisation that the world may be better without me. I got diagnosed with bipolar/ bpd rapid cycling and now on day 3 of lamactil. Weaning off effexor. My house is clean, I can prioritize things, I seem to be clawing my way out of that dark space in my mind. I'm motivated to leave the house and am hopeful about cleaning up my financial messes. If I had been diagnosed earlier I might still have my children. This medication is saving my life.",10
Lea123,"May 8, 2013",Lamictal (lamotrigine) for Bipolar Disorder:,"I was diagnosed with bipolar II when I was 18 years old. I have been on Lamictal for a year and a half now. Within a month of starting this medication I saw amazing results. I have experienced no depression and no hypomania whatsoever. After having bipolar II really run my life in my teen years and cause me to temporarily lose sight of myself, I feel like I have reconnected with who I truly am since starting this medication. I feel more myself than I have in so many years. I still feel things deeply hence unlike some antidepressants which numb you, per my own experience, Lamictal does not. If you truly have bipolar II, this is a wonderful medication. Much Love to you all on this tumultuous journey; stay strong and never lose hope.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"Wellbuetrin (get off the couch). Zoloft (be happy). Pristiq (be happier). Xanax (chill out). Adderall (get 'er done, efficiently). Dexilant (ulcer, of course).  Lisinopril (blood pressure).  Up. Down. Up. Down.  and then....because I felt so awful and helpless, pain pills.  I'm a smart girl.  I understand the epidemic and the risk of addiction, but didn't care.  Went into new Dr. (one that finally didn't just take out a prescription pad and ask me ""what do you want?"", but asked questions to better understand me.  The plan?  To taper off a ton of these drugs (not cold turkey), and prescribed Lamictal.  Game changer.  Less meds for liver.  More money in my pocket.  More genuine calmness and happiness. Seriously, game changer",10
backtome,"May 4, 2021",For Depression:,"I have drug resistant severe clinical depression. Since 1982 I’ve tried every drug possible all with side effects. I’ve taken Lamictal for the past 20 years and I have to say it has, without any doubt whatsoever, saved my life including giving me a quality life. Lamictal for me is a godsend and I’ll never stop taking it
-Back To Being Me",9
,,For Borderline Personality Disorder:,"Lamictal has 100% changed my life with borderline personality disorder. I am beyond grateful to finally be able to function like a normal human being. I am not lashing out in anger anymore, I can concentrate, I think before I react, I behave rationally and I have patience. I had zero ability to control my reactions before Lamictal. This medication literally saved my life. If you do go on this medication, I must warn you that the change is very dramatic and adjusting to normal is very foreign and scary for a while - especially if you have been this way for a long time. Therapy is an absolute must. Talking through your problems, past and present, learning new coping skills and just having that support will help tremendously. I know you probably feel like it’s impossible to change because it’s all you know, I get it, but life can be good. No matter how many other meds didn’t work, Lamictal might be the answer to your prayers.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I have tried and failed every medication out there!! I just could not tolerate the side effects and weight gain. I came very close to suicide and I finally got on lamictal. What a difference!! I am finally not having the mania keeping me up for days and the severe depression of constantly writing suicide letters. I am also on klonopin. I had to go off my meds during my pregnancy and my husband said "" I will never get you pregnant again!!!"" That is how much better I am on the medication. My dose is 300 mg. split twice daily. I had gastric bypass as well and I am tolerating it the same as I was before. I have been on Lamictal for 8 years.I wanted to share my experience so that I might touch someones' life and make a difference!",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I have Bipolar Disorder type 2 and when the Pandemic hit my moods became completely unmanageable, especially my anxiety. I had not been on medication for about 4 years which if you have Bipolar disorder can be very dangerous territory. The racing thoughts, the angry outbursts, the never ending panic attacks, crying outbursts, the mania...it was awful. I ended up having to be hospitalized.

I am not someone who is good at taking medicine, I castrophize and make my self suffer unnecessarily. I finally gave in while at the hospital and started Lamictal 25mg twice daily and I'm thankful I did. Within the first 2 days my panic attacks eased, my racing thoughts quieted and I wasn't crying so much. It does make me tired and gave me headaches for about a week, but both are manageable and have lessened. I have had only 1 panic attack since starting Lamictal and it was much less severe than without. This medication works for me.",8
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I felt it necessary to leave a review because of how well this medication has worked for me.

However, I have been quite seriously bipolar (with panic disorder) for over 30 years. As you can imagine I have been on many medications. About two years ago nearly everything had gone wrong in my life - including being homeless and drinking far too much. I pulled out of that with the help of Seroquel. But I was still having really really bad times. Then I met someone who suggested this medication.

Well it was not instant but slowly I started becoming ""normal"". Normal to me is wonderful. Now I hardly drink.. Why - because I drank to cure myself.. I actually wake up and look forward to the day. I feel young again!",10
,,For Anxiety:,"Have been suffering from anxiety, panic and bipolar depression for 20+ years. Have been on every cocktail imaginable and was my best on Klonopin, Remeron and Zyprexa. Zyprexa caused me to gain 60 lbs over 4 years and made my blood sugar crazy. Trying to come off was really awful, I dropped from 10mg to 5mg to 2.5 to 1.25 for months. After several failed attempts trying to cross with Latuda, Abilify and Seroquel, my doctor prescribed Lamictal and it's changed my life completely. My depression is all but gone, my moods are better, anxiety is lower and I've been Zyprexa free for 2 months and lost 19 lbs. I am currently at 50 mg and our goal dosage is 100mg. Took a few days to kick in and getting better by the day. Finally getting my life back!!!!!",10
,,For Borderline Personality Disorder:,"Ok so when I first started taking this medication Lamotrigine for borderline personality disorder I felt really dizzy, slightly sedated, and had nausea. I read a lot of others people reviews saying if you can push past this initial stage your body will adjust to it, and what do you know  it took about six days to get over the initial side effects from lamotrigine. I feel WAY more balanced out, I am not over thinking, and the things that used to worry me or give me anxiety no longer do. I don't hold on to the negative obsessive thoughts like i used to. If something upsets me I am able to take a step back and look at the whole picture without blowing up. I realize it takes 6 weeks to reach full potential but oh my wow must I say I see and feel a difference within myself. I am going to keep taking this medication, as I can see its potential to change my life, the way I feel about myself, the way I feel and interact with others, and my whole outlook on things in general. I am starting to feel normal, and I haven't felt like that in awhile.",9
,,For Anxiety:,I was put on this for severe anxiety 6 weeks ago and it has given me my life back! I can now go in public places without having a breakdown and my family has noticed a huge difference. I’m taking better care of myself and have the energy and desire to walk again. The only downfall is you have to titrate up slowly so you can get discouraged at first thinking it isn’t working. I’m now on 200mg and it’s been a game changer. Don’t give up on this medicine as it is a miracle worker. The only side effects I’ve had is a runny nose and headaches when starting it but I’d take that any day over the crippling anxiety I once had.,10
,,For Depression:,"I believe I’ve been misdiagnosed with bipolar disorder. I’ve never had a manic or hypomanic episode. Ever. I was put on 200mg of Lamictal, along with other meds. I feel completely flat and I think it’s the Lamictal. I have no emotions and my motivation is extremely low. I KNOW I love my daughter but I don’t FEEL that love. This is an example of having no emotions. And I hate it. I WANT to feel that love. I want to feel ANYTHING. I’m just flat.",2
,,For Borderline Personality Disorder:,"I consider Lamictal to be my miracle drug for borderline personality disorder, it has significantly turned my life around for the better. I'm currently about to have my dose increased to 200mg a day (was 100mg previously), but I already feel more.. 'normal'. I feel like I'm close to becoming the person I'm meant to be, my true self. I had felt blinded, hanging onto the words of loved ones, doing harmful things on impulse, pushing others way. I felt like I was looking at the world through a distorted lens. I'm learning how to be at peace with myself and others thanks to Lamictal. I love it, can't recommend it enough. I hope I'm not the only one with BPD who takes this. :-)",10
,,For Depression:,"I started lamictal during a life upheaval leading to acute, severe depression and after a bad reaction to lexapro (worsening depression and suicidal). Starting at Lamotrigine 25mg within 1 to 2 days I felt immediate relief. I worked up to 75mg and stuck with that for several months. Circumstance lead to worsening depression and went to 150mg once daily and now at 200mg and holding steady. I have stopped years of benzo, Ativan, Klonopin, Xanax. Now only take Lamictal. This medication provides a wall against depressive thoughts, behaviors. Also mood swings and rage issues that I suffered most of my life are almost completely absent. This med has given me a chance to live happily even during times of great change and struggle. Time to time I consider going off, but I'm afraid of relapse. Have been taking 3 years.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I 100% believe I would not be alive today without the Lamictal I take for bipolar. Before Lamictal, being alive was one of the hardest jobs I’d ever been tasked with. Now, because of this drug, I feel like a normal part of society looking forward to living life. This drug showed me how important it is to take your mental health seriously.",10
