Date,Time Taken,Condition,Review,Rating
"March 10, 2015",,Tegretol (carbamazepine) for Bipolar Disorder:,"I tried Lithium, Depakote, and Lamotrigine.  I had horrible side effects with all three.  But Carbamazepine is a miracle drug, as far as I'm concerned.  It started working within just a few days and I only had to take 300 mg a day, in 100mg doses.  My doctor and I found I had to have 400 mg a day if I took it twice a day, but spread out in 3 doses 300 mg worked.  I always prefer to take the minimum useful dose of drugs if possible.  Side effects: 1) teeth, especially at the gums, seem to be in worse shape on it, 2) I have to drink quite a lot of water, or I start to lose some cognitive function, 3) at a higher dose, I seemed to develop empathy deficits as if I had Asperger's or something.",9
"July 17, 2009",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I started Tegretol a week ago for Trigeminal Neuralgia. I was having more and more episodes of TN, and was miserable. Since starting the medicine, I have only had one brief episode of pain. I have had terrible itching since I started taking it. I saw a different Doctor today about the itching, and he said the dose was too high. Hopefully the 100 mg twice a day will relieve the TN pain and not cause itching. I am happy to try the Tegretol, because TN pain is unbearable. Worse than any pain I've ever had (including labor, c-section pain, and oral surgery pain.",9
"April 2, 2009",,Tegretol (carbamazepine) for Bipolar Disorder:,I have been using Tegretol for 6 months for BiPolar and I have felt happier consistently for the first time in my life. I have tried many others over 15 years and Tegretol has changed my life. I have had no side effects! Go Tegretol!,10
"January 26, 2014",,Tegretol (carbamazepine) for Bipolar Disorder:,"Thought I would share my experiences on ""Tegretol"" too.  I have been on Tegretol for 3 days now and can tell a HUUUGE difference! I have not been given the ""full blown"" Bipolar diagnose yet, I think this will need some more in depth conversations with my psychiatrist. Well yes I was given Tegretol as a mood stabilizer on Wednesday. I took the first 100mg before I went to sleep. The next morning I didn't really feel any different, it was maybe in the evening or the afternoon that I noticed an improvement. I was a lot calmer, my thoughts were gathered, this has been the case until this day. I will ask my psychiatrist to up the dosage of Tegretol but it's early days yet. All in all I love this medication.",9
"March 7, 2014",Taken for less than 1 month,Tegretol (carbamazepine) for Bipolar Disorder:,"I only took this 1 1/2 days because I had a severe bad reaction physically, but the second evening I was on it I felt so calm, peaceful, and happy, that I didn't even want to fall asleep knowing it would be gone in the morning. I would've given it a 10 if not the physical reaction. I really recommend trying this mood stabilizer for anyone with bipolar and it works in just a couple of days. I was just an unlucky one, again.",8
"August 27, 2009",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I have been suffering from Trigeminal Neuralgia for almost 8 years thinking that I was having tooth problems. Since my symptoms would come and go, I never did any further research and accepted my dentist's explanation that it was just sensitive teeth. This time, I couldn't accept that and decided to research further. Thank goodness I did and thank goodness for Tegretol! After being on it for only 2 days I am experiencing almost total relief! TN was the most painful experience of my life. The only down side to the medicine so far has been some light-headedness, which I am hoping will diminish or go away completely.",9
"May 14, 2011",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,I've been using CARBAMAZEPINE 200mg twice a day for about two years. It does a good job in limiting the amount of pain I have with Trigeminal Neuralgia. I found it best to take the medication regularly. If I skip days when I am not having problems the pain will be right back and it will take several days to get it back under control. I've tried GABAPENTIN 300mg and OXCARBAZEPINE 150mg but they did not help. The CARBAMAZEPINE makes me tired and sleepy but that is a lot better than the pain.,8
"August 5, 2019",Taken for 1 to 2 years,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"After 5 long years of incorrect diagnosis, unnecessary dental and ear surgeries, I was finally diagnosed with Trigeminal Neuralgia (TN) about 12 months ago and put on 3 x 200mg of Tegretol daily.
I have had horrific side effects with serious changes to my menstrual cycle (8 week non stop bleeding) but it is still better than living with the TN episodes that I would have almost daily.
I have recently been having milder episodes and may have to try something else.",8
"January 22, 2013",Taken for 1 to 6 months,Tegretol (carbamazepine) for Bipolar Disorder:,"Loved Tegretol, kept my moods stable, worked well, felt calm and happy and in control for the first time in years,
Until a Dr decided it was ok to mix this with antibiotics along with the pill, and sinus medication, I suffered from TENS, after being told 3 times it couldn't be that I was so suck ended up in hospital for 2 months.
Now I remain untreated due to fear, however, what works or some doesn't work for others.
This worked for me until my body decided I was allergic to it and everything else.
Please be mindful of what you take any medication with!",6
"June 3, 2019",Taken for 10 years or more,Carbatrol (carbamazepine) for Trigeminal Neuralgia:,"I’ve been using carbatrol for at least 15 to 20 years and have noticed my front teeth are getting loose .
But after my second MVD I AM STILL 5yrs painfree. Except when my brother passed away in Feb 2019, started crying and had three massive face pains so I had to stop crying 
So that was due to strees.

So I keep up to date on my blood test but just realized a side effect is loose teeth which is a VERY small price to pay for no pain",10
"June 11, 2017",,Carbatrol (carbamazepine) for Trigeminal Neuralgia:,"I have been taking 200mgs of Carbatrol every day for 8 years, due to TN. My TN is the typical type, stabbing facial pain. I don't know what I would do without this medication. It allows me to live a normal life without any pain and I have no side effects. Sometimes my insurance asks me to use Tegretol because it's cheaper and has the same main ingredient, but I react horribly to it. I'm lucky to I have a doctor that is willing to advocate for me. Frankly though, I would pay out of pocket for the Carbatrol before I would use a generic. If you have TN and don't have a good reaction to Tegretol I would definitely recommend trying Carbatrol.",10
"May 31, 2011",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I was put on Tegretol 2 weeks ago, and boy or boy the build up felt like forever but now that it is at 800mgs, I am feeling so much better. I believe I will be going up yet again this week another 200mg and then again if need be, before Doctor tapers me down where it is maintainable. I am still having just a bit of breakthrough pain a few times a day, which is nothing compared to where I was 2 weeks ago. I would gladly take the tired, stumbles and slurs over where I had been. This medicine works, and works well!  I pray it doesn't stop working for me, ever!",
"November 29, 2012",Taken for 2 to 5 years,Epitol (carbamazepine) for Trigeminal Neuralgia:,This medicine brought almost instant relief for a very painful neurological condition caused by a root canal procedure that went bad.  I suffered for two years before someone suggested this medicine.  After 4 doses I was free of pain and continue to be.  I understand I will be on this medicine for life.,10
"August 15, 2015",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I have been on Tegretol for about 7 years which has been good with manageable attacks I between, it took 2 years before I was diagnosed in which time I had the fillings on the right side of my face replaced 3 times looking for the cause!
I have now been in an attack for the last 3 an half weeks and at last have some relief , am now having double my dose 800mgs  but still have a slight electric shock feeling and my top and bottom jaw ache slightly, I am getting a referral at a London hospital to check my teeth , just to make sure they are ok, but it is just like when I was first diagnosed. Wind or air con are worst for me. This is an awful illness, and do hope you to will get the help that you need,",8
"September 3, 2015",Taken for less than 1 month,Tegretol (carbamazepine) for Bipolar Disorder:,"I have been on Tegretol for 8 days now, I'm very happy with the results so far. My mood and energy seems to have improved.  I'm taking Tegretol 200mg twice a day along with Prosac and Ambien for my insomnia.  The only side effect so far is a little bit lightheaded, but no biggie.  I have begun a journal/to do list and I'm very happy when I cross off the items I have completed, in addition in my daily journal I'm drafting my daily feelings and my accomplishments.  I would highly recommend this as this is helping me out tremendously.  My memory is not as sharp and this HELPS big time.",9
"February 11, 2021",Taken for 10 years or more,For Trigeminal Neuralgia:,"About 2005 I got small shocks on my face and of course I ignored them had to go to work.  Then was outside in the heat 2006 and I had a pain when my front tooth hit together. 
Of course I thought it was my teeth. 
My dentist said it's not my teeth. Go
See a neurologist. So I saw my neuro. 
And he said it was either MS or trigeminal neuralgia.   After tests. Lucky me it was both. He told me to start my MS meds and medication for the TN. I lived with the shocks that were building up in size. Til one day when my parent called ttyt he neuro and he gave me carbamazepine 200mg. It took half an hour to stop the pain. Been taking carbamazepine now since 2008.
I find I have not been able to live my life with out it. I'm taking now 800mg.
Then I found out I have osteoporosis. 
Tried to switch medication because of it. It won't let me. I tried all types of medications. Broke four bones so far. But I have to live with it now.",10
"October 23, 2015",Taken for 10 years or more,Tegretol (carbamazepine) for Bipolar Disorder:,"I have been on Tegretol for 15 years and it definitely controls the hypomania and rapid cycling, though not the depression so well.  It sort of leaves you feeling flat, but I had tried lithium, Depakote, and a few of the atypical antipsychotics and they were too heavy duty or left me with extreme weight gain.  When I went on Tegretol I have 50 pounds of extra weight from Depakote....it came off within 4 months.  I am not thin now, as I have gotten older, but I suppose it is still the drug for me.  At this stage of the game I don't feel like trying other meds as I have to work and function.  I also take a small dose of Lamictal too.",8
"February 18, 2008",,Tegretol (carbamazepine) for Bipolar Disorder:,my son age 5 has used tegretol for the past 6 months for bipolar disorder - it has shown a great improvement in his mood changes and has allowed others to accept him more. if the tegretol is not given we notice a huge mood swing and rage and depression becomes more apparent.,
"December 8, 2009",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I was having severe attacks several times a day and within two days on tegretol they stopped. I still get very minor twinges at times from trigger areas. It has been two weeks plus now and I can still recall beginning to brush my teeth and ending up on the floor, so I would be happy if I retain this level of control forever.",9
"March 5, 2017",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"Diagnosed a year ago. The tegratol helps with the pain massively, reducing it to more of and ache. My g.p has me on a step up and and step down routine so I'm not in them long term. It's working for me at the moment",8
"June 14, 2011",,Tegretol (carbamazepine) for Bipolar Disorder:,I had a very good experience on Tegretol. I had no side effects and was feeling better within three days. On top of stabilizing my moods it also reduced my fibromyalgia pain by a good 90% (which also helped my mood a lot).  The only reason I stopped taking it is because I'm working on becoming pregnant and it does have some nasty side effects there.  The new medicines I'm on don't work quite as well and I plan to go back on Tegretol as soon as I have a child.,10
"April 23, 2016",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"First time when I took Tegretol, it worked immediately and the pain went away. The pain comes and go every year and the most importantly the pain was not bad last 4 years that I did not even take Tegretol.  This time the pain is unbearable so I'm on Tegretol. Even with the medication still feel the shock once in awhile. Definately feels better with Tegretol. The side effects, for me, sleepiness, weight gain, excitement with no reason.",9
"August 26, 2016",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I started taking Tegretol 500mg every night after dinner. Initial ten days were extremely tough....very sleepy and was sleeping over 12 hours a day. Slowly there was some improvement but still very lethargic, struggling to concentrate, do day to day activities. Going back to doc. for a reassessment. The pain is down almost 70% and has given me some relief and relaxed me a bit.",7
"February 9, 2021",Taken for less than 1 month,For Trigeminal Neuralgia:,"The first time I felt TN pain on my right cheek I thought I had been hit by lightning. Second time I started looking for stray current. Carbamazepine ER (extended release) definitely seems to be helping reduce the frequency of the shocks unless I was coincidentally entering a remission. I was prescribed 2x/day. This gets me through the night, pain free, but not through the day. I split the dose into 3x/day which seems to work better, but still not enough: I end up slowing down, sitting down, and biding my time until the next dose.

Getting through the day is going to take a higher dose or other strategies. Looking at facial pain and seizure/ epilepsy web sites has given me two tips to help medication effectiveness: 1) eat something to keep blood sugar from getting too low, and 2) choose foods that are low in glutamate such as pears, apples, corn, or rice.",8
"June 5, 2019",,For Bipolar Disorder:,The carbamazepine has been a real life saver for me. I was hospitalized with psychosis and mania. I can get a racing mind also and/or rapid cycling (manic and depressed). This drug has helped me remain stable. I have been able to raise my son who is now two and even remain calm during tantrums. I needed to increase it many times for significant relief though.,
"March 1, 2014",,Tegretol (carbamazepine) for Bipolar Disorder:,"I have been taking Tegretol for a couple of years and it really helps with my bipolar. I can notice a big difference compared to if I'm not taking it. I just don't like how it makes my head and tongue feel numb, but it's a small price to pay.",9
"March 21, 2010",,Tegretol (carbamazepine) for Bipolar Disorder:,"I've used Tegretol for the last three years and it's still working like it did in the beginning.  My moods have been so much better over this time and I have a
lot better outlook now versus the time before I started taking this medicine.  I love these good moods I stay in throughout the day.",9
"March 14, 2013",Taken for 6 months to 1 year,For Bipolar Disorder:,"This is the ONLY thing that has worked for me.  I was diagnosed with a 'nonspecified mood disorder', feeling totally out of control, no concentration, extremely irritable, suicidally depressed, angry, extremely everything, you name it.  Tried on Lexapro (small effect, then nothing), Effexor (killed my whole soul- left me feeling nothing at all and HORRIBLE to wean off off and gained 30 pounds in two months), Zoloft (turned me into a raging psychotic mess- violently angry ideations, a real nightmare), Xanax (psychosis), self-medication (won't go into that, but obviously not a good idea)....anyway, you get the gist.  This medication gives me NO side effects and just took away my 'craziness' it changed my life.",10
"August 12, 2014",Taken for 5 to 10 years,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I have spent 17 years with atypical trigeminal neuralgia. This medicine gave me 4 years pain free. It took a long time to work, seems like almost a year, but worked great for a time. Guess now it's on to something else.",9
"August 22, 2009",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I have been on Tegretol for only 2 weeks and it gave me much relief.  Neurontin and Topomax did not work for me.  Only side effect of Tegretol is sleepiness.  I sleep very well at night.  I was prescribed 200mg twice a day, but only take it once a day.  Sometime I take it twice a day if pain in morning is constant.",9
"February 3, 2015",Taken for 1 to 6 months,Tegretol (carbamazepine) for Trigeminal Neuralgia:,Worked great on the pain. But my AST levels went through the roof. I am now unable to take them. Awaiting MVD surgery that can't come soon enough. Please ensure your doctor gives you regular blood tests. Mine did not hence my liver problems.,8
"August 5, 2018",Taken for less than 1 month,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I've been living with unbearable pain for 3 years. My official diagnosis is trigeminal neuralgia, although I'm still not sure the diagnosis is correct. Like many others, I've had endless dental procedures to no avail. They tried to put me on Tegretol and other anticonvulsants, but I can't tolerate it. The pain went away like magic from the first pill but the side effects were unbearable. It's as if someone hands you a life jacket and then it blows up in your face. I get a horrific state of agitation that lasts for many hours. I have to move, hit, kick, to relieve this madness (akathisia).  My question: can I have relief from pain with Tegretol if the pain is caused by something ELSE (such as a dental implant, in my case)? Or is the diagnosis of trigeminal neuralgia definitive if the pain goes away? Thank you.",5
"October 13, 2019",Taken for 5 to 10 years,Epitol (carbamazepine) for Trigeminal Neuralgia:,"When I was first diagnosed with trigeminal neuralgia I was in lots of pain. Pain medications did NOTHING. But Epitol worked but I was continually upped on the dose to keep it working. At the highest dose my Dr would give, 1200mg a day the pain still came back AGAIN. Finally a neurologist added 25mg of Amitriptyline and lowered the Epitol to 600mg a day. I've even lowered that over the past few years to just 400mg of Epitol a day and still only 25mg of Amitriptyline at night. I've  also used Carbazamepine (the name brand) and Epitol (the generic) both work the same for me.",8
"July 11, 2010",,Tegretol (carbamazepine) for Bipolar Disorder:,"Tegretol has slowed the rapid cycling I was experiencing with bipolar.  I have noticed improved mood.  I currently take a large dose, so I experience side effects.  It's my only complaint about the drug.  I would recommend anyone who is considering Tegretol for Bipolar to have a backup for depressed mood, as I don't feel it's effective for extreme low mood, mainly for bipolar mania.",8
"June 20, 2013",,Tegretol (carbamazepine) for Epilepsy:,There is nothing more scarier than that first few seconds when your seizure starts and nobody is around. Tegretol has saved my life! I am so thankful my doc put me on these tablets 200mg three times a day and I'm happily seizure free.,10
"January 12, 2014",Taken for less than 1 month,Tegretol XR (carbamazepine) for Trigeminal Neuralgia:,"I have been on Tegretol XR for about 3 weeks now for Trigeminal Neuralgia. I take 100 mg 2x a day. It took like two days for it to work. I only start to have pain from the attacks when I'm due for my next dose. And it's not nearly as bad. The only problem is that I'm already on pregabalin for fibromyalgia, so the Tegretol added makes me totally out of it. I can't remember things, I'm double drowsy all day, I zone out, and I don't like that it has negative interactions with about 500 medications including Tylenol, which I usually take for breakthrough pain because ibuprofen doesn't work on me. So overall, it helps but I really hope I don't have to take this for a long period of time.",8
"April 6, 2016",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"Diagnosed with TN (glad to learn about it and find out I'm not dying of a brain tumor or something) - the pain is horrific.  I've been on the generic form of Tegretol (Carbamazepine) 100 mg 3x per day for 3 weeks.  I still have episodes of pain a couple times a day, but at least I can walk around, talk and eat without the excruciating pain I had been experiencing.  Only downside is I feel like a zombie - tired, and ""out of it"" - but like others have said - I'd take that any day over the near constant pain I was having.",8
"June 20, 2016",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I started taking Tegretol for TN and it did greatly improve my ability to function. Pain was much duller during episodes and had stopped being totally debilitating. 
6-7 weeks after use I began to be so lethargic I couldn't get out of bed and was relying so much more on my husband to see to our toddler son. It was very worrying. I then developed severely enlarged glands under my chin, lumps on my neck and started to feel generally unwell. I then had a full blood count done and it returned a very low white blood and abnormal looking cells also. Enlarged spleen also occurred. Now being referred to haematology and had to be taken off Tegretol as they believe I am taking quite a severe reaction to it.",5
"April 21, 2013",Taken for 1 to 6 months,Tegretol (carbamazepine) for Schizoaffective Disorder:,"Tegretol is very effective for my mood swings and hallucinations. It helps slow the racing thoughts and hyperactivity and thinking people are out to get me and helps with hearing voices. When I do not take it, everyone can notice a huge difference in how I act.",9
"October 24, 2012",Taken for less than 1 month,Tegretol (carbamazepine) for Bipolar Disorder:,"Caused me to be very drowsy all of the time, sleeping about 16 hours every night and I developed an itchy rash of red pimple-like bumps on my scalp and neckline and middle of my back after taking it for a few days.",2
"August 2, 2015",,Tegretol (carbamazepine) for Bipolar Disorder:,"I currently take 300 mg of carbamazepine a day. 100mg in morning and 200mg at night. Which is hard for me to remember the different doses because this medication causes me to forget everything. I also had really bad nausea and hot flashes when I first started taking it.  I quit smoking cigarettes and drinking alcohol on this drug. Super amazing accomplishments, but on the other hand I have lost three jobs in six months. Before tegretol I was taking 300mg of seroquel XR a day and it made me a completely unemotional zombie. So It's hard for me to control myself sometimes because I'm feeling all these things I haven't felt before . I hope tegretol can work for me though and be my miracle drug, because changing meds is my living nightmare.",8
"March 22, 2016",Taken for 6 months to 1 year,Tegretol (carbamazepine) for Bipolar Disorder:,"I have been using tegretol for 6 months , 200 mg a day two times. Before this I started with abylify and it did not help me. I feel much more normal than before and I don't feel like I am going up or down anymore. But  I think one of the most important thing is also not using alcohol and sleeping 8 hours a day.",9
"August 5, 2016",,For Trigeminal Neuralgia:,"Reading all your testimonies gives me hope. All though a few of you have had a bad experience or no relief at all. Majority seems in favor. I was recently diagnosed with TN. Never heard of it, also never felt pain like this in my life. Wakes me up, only eat when I'n starving, haven't been to the gym in 3 weeks. I've only been on it for 3 days and so far no change. I guess it takes sometime to get into your system. 100 Mg 2 times a day. Not tired or dopey at all. Seems like the people with the higher Mg have those symptoms. Well wish me luck. One thing I just recently discovered, if i'm looking down I start to get that twitch in my lip. Then I lean my head way back as I was lookin in the sky it seems to calm down.",1
"January 24, 2019",Taken for 1 to 6 months,For Trigeminal Neuralgia:,"Was diagnosed with TN pretty swiftly after about three weeks of face pain one week of which was worse than giving birth! Was put on 100mg twice a day and after one week the pain subsided. I was very happy. Only side affect was a terrible drowsiness most of the day but better than the pain. However by week three (still on only 200mg per day) I started to feel very unwell. I felt like I was dying. I got terrible fever and the drowsiness got so unbearable I could hardly walk. I got a mouth ulcer (never get them) then another. I could hardly eat, felt nauseous, dizzy and very unwell. Finally the doctor ordered a blood test and he then called me up a couple of days later to tell me to stop taking the drug immediately because I had an allergic reaction and it had affected my liver. Off it now and feeling more like my old self. Luckily the TN has subsided and hopefully it won't come back for a long time. If it does I won't be taking Carbamazepine again.",5
"March 29, 2017",Taken for less than 1 month,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"Diagnosed with TN about a week ago.  I tore a Cartilage in my right knee, which I thought was painful. Well, nothing compares to TN, rather have a daily torn cartilage than this terrible pain.

Ended up in hospital being given Morphine, Diazepam, and a Diclophenac Suppository, which is not the most enjoyable method of administration.

Doctor has prescribed Tegretol. This has provided some relief, in as much the frequency of the episodes has reduced, but not the severity, which has not been attenuated in any way. At least I can function better than last week. Though now I do feel a bit zombiefied, and as I am unemployed looking for work this does give me some apprehension how I am going to cope with pain, sedation, and interviews.I am a Brit",5
"August 17, 2014",,Tegretol XR (carbamazepine) for Bipolar Disorder:,I was previously diagnosed with major depression with severe anxiety attacks. I was taking anti-depressants and anxiety medication for 3 years. My mood would vary greatly throughout this time period. I was self medicate until one night I tried to drive myself off of a bridge with my car full of people. I realized at that point I needed help and nothing was working. I call my therapist he suggested that I go to the emergency room.  I did. I ended up getting admitted for attempted suicide.  After a week in the hospital it was apparent I was bipolar and in a episode. I suffer from manic and depressive episodes. They put me on Tegretol XR and I began to be able to actually sleep a whole night and think normally.,9
"October 29, 2010",,Tegretol (carbamazepine) for Bipolar Disorder:,"Well, I would say that the side effects, when you stop talking is like so.
I feel like I'm shivering inside, one of the worst feeling in the world. So bad that if I miss a dose, I'm waiting at the Pharmacy before its open.
I suggest that one doesn't miss a dose.",7
"November 10, 2017",,Tegretol (carbamazepine) for Trigeminal Neuralgia:,"I have been on tegretol for seven years now,I still have general pain with the occasional flair up of unbearable pain that I had before taking this medication.  I am also on a high dose of folic acid as I became very anemic, this caused tiredness.  It was just by chance I was diagnosed with TN after being in extreme pain for over 6 months, many doctors and tests one specialist just said it could be this, let's try this drug it may not work but if it does we are on the right track.  To be honest with you if she said I needed to cut off a limb to ease the pain at that point I would have asked for the knife.  I was miserable the pain was unbearable and so was I.  I do feel it is not working as well after all these years may be due for review.",9
