Date,Time Taken,Condition,Review,Rating
"April 10, 2020",Taken for 2 to 5 years,Tylenol Arthritis Pain (acetaminophen) for Pain:,"My doctor won't prescribe medication for my fibromyalgia and arthritis pain. He told me to take Tylenol Arthritis. Well, it works sometimes, but most of the time it barely touches the pain. If I take aspirin with it, it works better. But I'm still in a lot of pain. I don't like using creams, because I had a cat die from Icy Hot poisoning, so that's not really an option. I need something else.",5
"August 16, 2020",Taken for less than 1 month,Tylenol (acetaminophen) for Sciatica:,"Tylenol did zero to help my Sciatic nerve pain, although it's helped in the past with other issues.  -  nothing else prescribed helped either but oddly enough Mocha flavoured monster drink would remove about 80% of the pain for about 5-8 hours. I have no idea why but it's the only relief I get.(except hot showers help too it seems)",5
"February 6, 2019",,Tylenol Extra Strength (acetaminophen) for Pain:,"I had my rotator cuff repaired and I was sent home with a block in my arm that did not even last 24 hours. Also I was sent home with a liquid bulb of pain medicine around my neck with the tubing inserted into my shoulder. In less than 24 hours the tubing leaked twice and finally just fell out. I had one pain medicine prescription. I had to half each one into 4. It was terrible pain and the doctors advised me to take extra strength Tylenol. It does noting for me. I don’t understand why there’s a push to take Tylenol. I’m certain Tylenol would work for me if I exceeded the recommended does. Thus, why so many people have liver damage. Tylenol and extra strength Tylenol is like taking nothing. I even tried going without it and then taking Tylenol. No difference!!!  Nothing!!",
"December 21, 2017",Taken for 1 to 2 years,Tylenol 8 Hour (acetaminophen) for Pain:,"I use it a few times per week for pain flares with my chronic pain. It seems to work better than extra strength and longer. I don't need to rely on my oxycodone as much now that I take this for some pain flares. That being said, not every pain flare is the same and I end up still using one of my oxycodone. I'm allowed up to 4 per day, but now I take one or two since I started to use Tylenol 8 hour. I use the store brand of it too and it works just as well.",9
"January 1, 2022",Taken for 1 to 6 months,Tylenol (acetaminophen) for Fever:,"This is great. I've had a small pain in my head when I woke up this morning and decided to ignore it. It started getting worse and I realized I was developing a fever around 5:00PM. Even though I had the help of my younger sister to try and reduce the fever and headache, it just hasn't gone away entirely. I was unable to figure out a way to reduce the pain I was in so I called my mother and told her the pain I was in. Conveniently enough, my mother mentioned that we did have Tylenol at home. I went to the room that she told me I'd find it in. I found the Tylenol and downed a pill with water. In just a minute or two, the pain has basically completely vanished and my fever has been reduced greatly.",9
"February 4, 2017",Taken for less than 1 month,Tylenol Cool Caplet Extra Strength (acetaminophen) for Pain:,"Took one capsule before going to bed for a week to help sleep (arthritis). Had a reaction of hypertension and tachycardia.  Stopped taking anything extra beside regular meds.  Took it again about a month later.  Had the same reaction, only much worse.  Ended up in the OR.  Realized what the cause was.  I have never taken anymore and condition has not returned after three months.  My doctors were not aware of this reaction from Tylenol until I found this site.",4
"October 25, 2020",,For Sciatica:,"acetaminophen works for my Sciatica mine. I get them from a medical professional. I use them until I can get a cortisone shot. showers do help.
Many over doses are caused by people taking the same medicine so you have to make sure you don't go over the prescribed daily dosage.I need to eat to keep from having a upset tummy. Also with any aspirin you are suppose to drink milk not water.",10
"April 8, 2021",Taken for 2 to 5 years,For Sciatica:,"I have had a major back surgery and after tons of morphine, oxycodone, and OxyContin, the only things that takes my low back pain to zero is Buprenorphine. No type of  injections worked either. However, the only thing, including all the opioids that helps my sciatic pain is Tylenol. I can’t take any NSAIDS due to kidney failure from Metformin and NSAIDS but they never helped my sciatica.",10
"May 5, 2011",,For Pain:,Tylenol PM helps me so much with my pain at night because at night my back pain is the worst and every once in a while I take a Tylenol PM and I feel great and can sleep well and I also feel better the next couple days. ,
"January 9, 2017",,Paracetamol (acetaminophen) for Pain:,Administered an IV bolus of 600mg of Paracetamol to a patient in severe to moderate pain and patient suddenly started sleeping off but that was not expected so I checked and found the pulse unrecordable and BP not measurable. Quickly gave and IV bolus of saline and restored vitals and subsequently monitored patient for the next six hours. I think the effect of rapid administration IV should be hammered on.,6
"August 31, 2009",,Tylenol 8 Hour (acetaminophen) for Pain:,"I used to take regular Tylenol two at a time, when I needed I  got up to taking 3 to 4 times a day. I switched to taking the 8 hour version and it really works fairly well. It is OTC medicine and reasonable price and it works.",8
"August 22, 2017",Taken for 10 years or more,For Pain:,"I take acetaminophen for various reasons, mostly headaches though. I was advised to stay away from all NSAID medications due to the risk of GI bleeding when mixed with anti-depressants. Acetaminophen isn't the best pain relieving substance but it works well enough for me.",7
"August 22, 2016",,Tylenol Extra Strength (acetaminophen) for Pain:,"I started taking Tylenol Extra Strength for pain after a deep puncture wound requiring skin glue. It's powerful stuff, so I never took more than 1,000 milligrams (2 pills) at a time. The max daily dose is 4,000 milligrams, but I never need(ed) that much; about half of that does the trick for me. I haven't had any negative side effects, but I worry I may become dependent on it if I don't taper off soon. I've read what it can do to a person's liver...",10
"November 18, 2020",Taken for less than 1 month,Tylenol Extra Strength (acetaminophen) for Pain:,"This is called ""extra strength"" but it does NOTHING? Every six hours because it's a big, bad painkiller. I can't take anything but Tylenol right now and that's really, really sad. I may as well not take anything and suffer through.",1
"November 3, 2009",,For Fever:,My son has had a lo-grade fever for three days. I've had him on Tylenol every 4 hours but decided to try Motrin instead during his regular dosing schedule. It didn't do a thing. His fever kept rising. Tylenol is the only thing that has worked for him.,9
"November 15, 2017",Taken for 10 years or more,For Pain:,"It cannot be overstated how dangerous this medication is.

Over 100 teens DIE yearly in the USA ALONE from an Acetaminophen OD.

I believe personal experience is illustrative & common so I'll share.

The child was not truly trying to harm herself, as with most, they don't think it can harm them, their desire is to regain control.

They may vomit - regardless, they wake the next morning feeling embarrassed but fine, unaware their liver is dying inside them - & by the time they realize they are sick, nothing can be done.

Please EDUCATE YOUR CHILDREN ON THE DANGERS of this is liver-killing POISON!

NEVER EXCEED recommended dosage, I never go above 3 doses daily, & NEVER MIX WITH ALCOHOL!

I also avoid APAP meds, 5Mg oxycone, not Percocet, etc",
"May 22, 2021",,Tylenol (acetaminophen) for Pain:,The 2021 commercial is very sincere and touching.  I use tylenol and it works well for me.  After see the commercial I feel like the company is in business for more reasons than just the revenue.   It has worked well for me through a variety of medical issues and I will continue to use this product.  Thanks,10
"April 2, 2021",Taken for less than 1 month,For Pain:,"Tylenol has never worked even a little for me. It seems to be the go-to pain reliever at hospitals and emergency rooms here in Canada, but really does nothing, even when it's Tylenol-3. It has never even got rid a headache for me, let alone real pain.

I can't count the number of times it's been prescribed for me following surgery for broken bones (for use after I'm off morphine or other opiates). It might as well be a sugar pill. My sister is the same — it just does nothing. I don't know why they still give this to people as a pain reliever. I always end up buying naproxen or ibuprofen instead.",1
"October 22, 2016",Taken for less than 1 month,Coles Paracetamol (acetaminophen) for Pain:,Although I have a side effect of dry mouth and mild dizziness it takes away the pain as it should. The dry mouth appears when taking 4 or more in and 12hr period. Whereas the dizziness is more immediate 1hr after indigestion but dissipates an 1 to 2 hrs after ingestion.,7
"May 19, 2020",,For Sciatica:,I really recommend giving actaminophen a shot. for a while it’s the only thing that would get my through the night because of my lower back and hip pain. Nothing else worked even sleeping meds. It made me comfort enough to sleep through most of the night. I'm not sure if it was because it made me drowsy or it took away the pain but it’s really a life saver,7
"December 15, 2021",Taken for 1 to 2 years,Tylenol (acetaminophen) for Pain:,"This is my break through pain drug for occipital and trigeminal neuralgia attacks. And after brain surgery, I took this around the clock for months for the nerve pain. It took my pain level from 7 down to 2 in about half an hour and lasted 4-5 hours. I could tell when it was time to take another dose. I carry a packet of the powder form in my wallet for neuralgia emergencies.",9
"August 2, 2021",Taken for less than 1 month,Tylenol (acetaminophen) for Muscle Pain:,"The Tylenol bottles are way to hard to open for someone with arthritis in the hands. It's bad enough that you need to turn the cap to lineup the arrows but then you need to pry up the cap with only the small arrow to push on - there should be an easier way to open the cap. Tylenol cold even include a non-safety cap on the box. Pharmacy's provide non-safety caps and Tylenol could should also. Until they figure it out, I will not purchase another Tylenol package!",1
"April 6, 2020",Taken for 10 years or more,Paracetamol (acetaminophen) for Fever:,paracetamol is very fine medicine,8
"February 21, 2021",Taken for less than 1 month,Paracetamol (acetaminophen) for Fever:,Very Helpful,8
"December 6, 2019",Taken for 2 to 5 years,Paracetamol (acetaminophen) for Fever:,paracetamol is the best and safe drug. its really amazing,10
"August 5, 2011",,Tylenol (acetaminophen) for Sciatica:,Tylenol does nothing for my sciatica. The pain is there all the time.,1
"July 23, 2013",Taken for 5 to 10 years,Paracetamol (acetaminophen) for Muscle Pain:,Great for backache.,10
"January 27, 2013",,Paracetamol (acetaminophen) for Muscle Pain:,It's for fever and muscle pain. It's the best if you have a muscle pain after training or the next day. 30 minutes after taking the pill you will be just fine.,9
"March 24, 2017",Taken for 1 to 6 months,Tylenol (acetaminophen) for Sciatica:,Tylenol is the only thing that helps my pain right now. Cannot function otherwise. Cannot sleep either. Even prescribed pain meds did not work as well.,10
"February 25, 2018",,Tylenol (acetaminophen) for Sciatica:,Tylenol is the only OTC medication that helps my  sciatica,10
"September 22, 2011",,Tylenol (acetaminophen) for Pain:,"It works decently, but it's not strong enough for my back pain.",5
"May 9, 2008",,Tylenol (acetaminophen) for Fever:,Works great as a fever reducer.,10
"August 15, 2015",Taken for 5 to 10 years,Tylenol (acetaminophen) for Pain:,For migraines tylenol works better than ibuprofen for me,10
"March 15, 2015",Taken for 10 years or more,Tylenol (acetaminophen) for Pain:,I would take two 500mg pills once a day. I used it for occasional tooth aches because of my braces. It helped alot. Alot better than ibuprofen or naproxen actually.,8
"October 25, 2013",,Tylenol (acetaminophen) for Pain:,"MUCH less effective than aspirin or other NSAIDS, does nothing for me for headaches or arthritis.",1
"March 19, 2015",Taken for less than 1 month,Paracetamol (acetaminophen) for Pain:,"Paracetamol has no pain- relief effect on me, whatsoever.",1
"July 10, 2015",Taken for 1 to 6 months,Tylenol Extra Strength (acetaminophen) for Sciatica:,I have found very little relief from this otc medication.,1
"January 12, 2019",,Paracetamol (acetaminophen) for Pain:,Does not work. Made me more ill than I am,1
"December 12, 2008",,Tylenol Arthritis Pain (acetaminophen) for Pain:,Best pain reliever.,9
"October 13, 2009",,Tylenol (acetaminophen) for Pain:,Best pain killer ever known.,10
"November 26, 2018",Taken for 10 years or more,Paracetamol (acetaminophen) for Pain:,I had a headache and it didn’t help me one tiny bit just made my headache 100x worse,1
"March 16, 2010",,Tylenol (acetaminophen) for Pain:,Its a good painkiller.,10
"May 10, 2011",,Tylenol (acetaminophen) for Fever:,"Pain:  not very effective.  No side effects, easy to use.
Fever:  definitely a 10.  Always helps.
This got a high rating due to the fever-reducing.",9
"May 10, 2017",,Tylenol 8 Hour (acetaminophen) for Pain:,If I take one 8 hour pill before getting up in about a half hour I am good to go for the whole day. I have osteoarthritis.,10
"December 14, 2013",Taken for 10 years or more,Paracetamol (acetaminophen) for Pain:,Helps lower my blood sugar. I take 500 mg a day I live in the UK.,10
"August 14, 2017",,Tylenol Arthritis Pain (acetaminophen) for Pain:,This helped me through the day like no other OTC medicine.,
"February 28, 2021",Taken for 1 to 6 months,Tylenol Arthritis Pain (acetaminophen) for Muscle Pain:,Did not phase my muscle pain  in my shoulders but does work great for arthritis pain in my hands.,
"September 18, 2017",Taken for 2 to 5 years,Tylenol Arthritis Pain (acetaminophen) for Muscle Pain:,It helps slightly but with Ehlers-Danlos and recurrent dislocations/subluxations it only helps a little if at all.  It might help much more with minor conditions.,
"March 4, 2008",,Tylenol 8 Hour (acetaminophen) for Pain:,I only have to use 2 Tylenol 8 pills every morning to keep my Arthritic back pain in check.,10
"November 7, 2020",,Tylenol (acetaminophen) for Muscle Pain:,great in right dose,7
"June 18, 2010",,Tylenol 8 Hour (acetaminophen) for Pain:,The best over the counter pain reliever I've ever found.,9
"November 10, 2019",Taken for 1 to 6 months,For Muscle Pain:,Almost good for muscle pain,7
"December 15, 2018",Taken for less than 1 month,For Pain:,"Doesn't do thing for real pain. Back pain, arthritis etc.  Aged 89",
"March 19, 2021",Taken for less than 1 month,Tylenol (acetaminophen) for Fever:,"I'm not happy with this drug compared to paralgan, aspegic,asperine,...many others which are much more effective",1
"October 2, 2017",Taken for less than 1 month,For Pain:,"Two 500 mg caplets taken at a time, 4 times a day. Did not work at all for my severe pain resulting from an abscessed tooth.

Only got relief when using two 500 mg caplets of Bayer aspirin.",2
"March 27, 2009",,For Muscle Pain:,Very good medication,7
"March 9, 2020",Taken for less than 1 month,Tylenol (acetaminophen) for Sciatica:,Tylenol only gave me an upset stomach. Did nothing for my sciatica.,1
"September 12, 2021",Taken for less than 1 month,For Sciatica:,did not work for sciatica pain at all. Waste of money,1
"August 25, 2021",Taken for 10 years or more,Paracetamol (acetaminophen) for Pain:,For me its very good for pain and headache works in  30 minutes with every thing getting better,9
"January 26, 2010",,Vitapap (acetaminophen) for Pain:,This drug is amazing.,10
"September 20, 2020",Taken for less than 1 month,Paracetamol (acetaminophen) for Pain:,good,8
"July 8, 2009",,Tylenol 8 Hour (acetaminophen) for Pain:,Excellent for relief of pain.  The best over the counter medication I have used for pain.,
"August 10, 2017",,For Muscle Pain:,"Almost useless and toxic, acetaminophen is all I can take concomitantly with Plavix.",
"November 4, 2013",Taken for 2 to 5 years,For Pain:,"Help’s some but, not much.",6
"November 14, 2009",,Feverall (acetaminophen) for Pain:,My daughter has autism and when she is sick she will not swallow anything. The only way to get rid of her sore throat or fever is to use Feverall.,10
"May 3, 2015",,Vitapap (acetaminophen) for Pain:,Good,10
"August 20, 2008",,For Fever:,"Had high fever, took 2 Tylenol extra strength and fever broke within 1/2 hour.  You'll sweat a lot as fever breaks but that's normal per my doctor.",10
"October 26, 2009",,For Fever:,"A tried and true fever reducer, why waste your money on anything shiny",8
"July 11, 2009",,For Pain:,This is a fantastic pain reliever and also great for fever.  In intravenous form Paracetamol works ten times better than controlled drugs.,10
"October 14, 2020",Taken for 1 to 6 months,For Neck Pain:,helpful especially with Diclofenac,8
"November 1, 2020",,Tylenol Extra Strength (acetaminophen) for Sciatica:,Tylenol and Tylenol extra strength didn’t help my sciatica pain    Tried Advil which helped the pain but made me feel flu symptoms,6
"September 9, 2020",,For Sciatica:,Tylenol doesn’t seem to help at all!,1
"November 26, 2019",Taken for less than 1 month,For Sciatica:,Did not do much for my pain. :(,1
"August 27, 2009",,For Fever:,"I always use Tylenol when my kids have a fever, it works great!",10
"April 14, 2009",,For Pain:,I take Tylenol Migraine Ultra every morning to ease my chronic daily headaches. They work within 20 minutes.,9
"February 4, 2022",Taken for 1 to 6 months,For Plantar Fasciitis:,"Still hurts when I stand, especially when I get up in the morning time, I have that burning feeling",2
"January 26, 2022",Taken for less than 1 month,Tylenol (acetaminophen) for Pain:,Does not help pain caused by inflammation. Helps mild aches or mild headache,4
