,Unnamed: 0,Date,Time Taken,Condition,Review,Rating,adr,label
20,20,,,Lamictal (lamotrigine) for Bipolar Disorder:,i am an extremely sensitive person and my depression is easily triggered i have bpd ptsd mdd and addinattentive i do not have bipolar disorder but this medication has helped me tremendously with mood swings i used to have a mental breakdown almost every day from intrusive thoughts i am feeling much better now i am taking a low dose of only 25 mg i request to start on the lowest dose possible of any medication and work my way up i notice a lot of people are leaving negative reviews because of side effects i have had no negative side effects and i do not plan to increase my dosage remember that the higher the dose you take of any medication the greater the risk is for side effects i would recommend giving this medication a chance,10.0,"bipolar disorder, depression, mood swings",1
21,21,Anonymous,"October 2, 2019",Lamictal (lamotrigine) for Bipolar Disorder:,my whole life i was depressed i started using drugs at age 16 which led to a 17 year battle with depression and addiction it was like no matter where i was my mind would tell me i didnt belong ive been taking this medicine for a year and a half it is not a coincidence i got sober and havent picked up a drug since its not a coincidence im a mom again a friend and a daughter this medicine allowed me to breath and swing with the flow of life optimistically its mild so its perfect this medicine saved my life literally,10.0,depression,1
22,22,Lynny,"March 4, 2021",Lamictal (lamotrigine) for Bipolar Disorder:,since taking lamictal 100 mg daily i seem to be sharper can multitask again and my energy level is very steady emotional pain and distractability are much more controlled i feel like myself again i hope it lasts,9.0,pain,1
23,23,,,Lamictal (lamotrigine) for Bipolar Disorder:,after struggling off and on with depression this medication lamictal literally saved my life i bounced from antidepressant to antidepressants praying something would work but nothing did i had everything in my life so it was so frustrating it felt like my soul had been sucked out of me i no longer wanted to live this disease cost me a marriage a son and a job life is so good now i owe my life literally to lamitcal please dont ever give up,10.0,depression,1
24,24,Kalia,"May 12, 2021",Lamictal (lamotrigine) for Bipolar Disorder:,i start taking lamotrigine 2 month ago this drug is a life changing i had mood swing all the time they went 10 from scale 110 to only 1 my brain was speeding and thoughts were running and now i have clear brain no crazy thoughts zero sides effects only first week of taking i was more thirsty than usual thats it i can call it magic peel highly recomended,10.0,,0
25,25,,,For Depression:,im diagnosed adhd anxiety depression and ptsd and have been in a very dark place for months and very depressed and anxious and suicidal thoughts im on several medications for months venlafaxine wellbutrin and vyvanse which are little to no help lamictal was added and im now on 100 mg daily in the morning and my depression is entirely gone and so is my anxiety i dont get mood swings anymore i am calmer and less pessimistic ive had no side effects except some minor itching upon dose increases lasting for a day or so i dont feel emotionally numb i just feel like a calmer more logical happier version of myself ive tried so many medications over the years for my depression and anxiety over 20 and this is the first one to truly help a miracle medication for me it can take time to find the right medications for you but dont give up hope,10.0,"anxiety, anxiety depression, depression, mood swings",1
26,26,,,Lamictal (lamotrigine) for Bipolar Disorder:,ive been on lamictal for about 5 months before getting on lamictal i was at my lowest ive ever been mentally i was barely sleeping had nasty angry outbursts on a near daily basis and had suicidal thoughts it took about 2 months to start seeing a difference but im so thankful that im on this medication it changed my life i feel like myself again i still get those angry outbursts sometimes but they arent as bad i also havent had a suicidal thought since getting on it,9.0,,0
27,27,,,For Anxiety:,this made life so much better i think my doctors prescribed every ssri and snri there is each one made me sicker than the last one a couple of them made me miss weeks of work at a time i started on such a low dose that it made no difference i was just happy it didnt make me sick so i kept taking it finally i went up to a full 25mg and i will never forget the first time i felt this stuff kick a panic attacks ass i literally felt it stuff it down and smother it 6 months later im up to 50mg and on the rare occasion i feel an attack coming on it is never as severe as it used to be after doing some reading on this med it is the last resort for anxiety if you get sick on anti depressants stop messing around and demand your doctor prescribe this i was worried that this was a seizure med and was skeptical it has exceeded expectations i doubt there is anything that cures anxiety but lamotrigine sure works for me,10.0,anxiety,1
28,28,,,Lamictal (lamotrigine) for Bipolar Disorder:,lamictal changed my life ive tried many bipolar meds as a teen trileptal seroquel trazadone etc none worked and i developed terrible acne and side effects so i went off bipolar meds and took only zoloft for almost 10 years fast forward one day i realized i couldnt get out of bed and needed help i was insistent on trying a medication that wouldnt make me gain weight so i read a lot of reviews on here and decided to try lamictal it absolutely changed my life the only bipolar medication that has worked for me it is like night and day looking back at my precious behavior is baffling to me now now no blow ups i can function normally no weight gain i noticed a difference literally the day of taking it im very sensitive to medicine and in tune with my body again this medication changed my life thank you lamictal ,10.0,acne,1
29,29,caro,"February 3, 2020",For Anxiety:,lamictal completely changed my life before i started it id have bursts of anger due to pent up anxiety over the nitpickiest things i thought i was just a jerk and didnt understand why quickly after i started taking lamictal 250mg for anxiety i noticed a huge difference i felt relaxed for once not euphoric or like a different person just normal calm collected but still sharp lamictal was like a valve that drained my anger out when i was just about full of rage i personally havent noticed many side effects at least none that i dont already have from ssris loss of coordination is a big one and i only get tremors if i havent eaten but that might just be low blood sugar in conclusion being someone who suffers from chronic general anxiety disorder and major depressive disorder i can definitely see lamictal being an effective long term medication works great for me,10.0,"anger, anxiety, anxiety disorder, depressive disorder, rage",1
30,30,,,For Depression:,ive been on lamotrigine since midaugust i titrated up slowly and am at maintenance dose of 200mg daily i was on every depressionanxiety medication you can think of for the past 20 years i had to wean off those as lamotrigine was introduced so far it has made a remarkable difference in my moods my depression my motivation i love not laying in bed all day going on it was not easy however my anxiety was high migraines fatigue insomnia these have resolved but its taken 3 months im thrilled at the difference it made in me and pray it continues to work remember it took months and 200 mg dose until i felt better,9.0,"anxiety, depression, fatigue, insomnia",1
31,31,,,Lamictal (lamotrigine) for Bipolar Disorder:,my highs arent as high my lows arent as low and for the first time in my life i actually have the motivation to accomplish things really the only way i can tell if i am manic or depressed is by the amount of sleep i can get i am so grateful for this drug im on 200mg once a day with very few side effects i have wacky dreams and dry mouth but thats about it ive just gotten accustomed to drinking more water lol,10.0,dry mouth,1
32,32,,,Lamictal (lamotrigine) for Bipolar Disorder:,i am 52 year old male and lamictal was a god send i was in a bad way for a few years until a new doctor said we can fix this and prescribed lamictal within a week i was back i was able to get on top of and manage my depression anxiety and anger it was so great to be the person i wanted to be instead of the angry mess i had become that may sound overly dramatic but its true and may speak to some of you,10.0,"anger, anxiety, depression",1
33,33,,,For Borderline Personality Disorder:,requested to try this med to my prescriber based on my own research and knowledge of the positive reviews from those taking it for borderline personality disorder bpd i must say that although i was not expecting it to help me this much and i never wrote reviews for anything i want to help others know how incredibly life changing lamotrigine could be for you like it is for me i feel so normal never did i think i would feel this great i want everyone to feel this relief i can control my negative emotions now if you are on the fence about it i say go for it ,10.0,personality disorder,1
34,34,,,Lamictal (lamotrigine) for Bipolar Disorder:,if you have bipolar disorder type ii please learn as much as you can about this condition from professional reputable sources so you can make informed decisions about treatment and management options this is a treatable manageable illness take hope in that after 20 years struggling to cure myself naturally being miserable dangerously depressed dysfunctional i finally decided to try psych medication i found a doctor who specialises in this disorder and is up to date with the latest research findings in this specific condition if you dont like your current gp or psychs attitude find someone else i started a combo of lamictal am pm seroquel only pm makes you drowsy i kept a daily mood diary it took 3 months for my mood to fully stabilise to help the bipolar depression we added bupropion nacetyl cysteine a supplement all based on clinical research for 5 years now ive had my life back deciding to take this medication saved my life,10.0,"bipolar disorder, depression",1
35,35,,,Lamictal (lamotrigine) for Bipolar Disorder:,lamictal has singularly saved my life i have bp 2 with rapid cycling with my dominant problem as depression i would have hypo episodes but fewer than depressive episodes first week on lamictal i had a bit of a dull headache but that is it within a week the heaviness of depression was lifting now 10 years later i have zero headaches from it and zero side effects maybe i am a little less empathetic but i love this med i have zero depression with maybe 12 brief episodes of depression per year it never lasts and when one starts i may cry and feel really down but i feel it kick in and stop the endless spiral i love this med,10.0,"depression, headache",1
36,36,,,Lamictal (lamotrigine) for Seizure Prevention:,my sister died today due to side effects from this drug it is ruthless she lost 2 layers of skin over 90 of her body as it caused stevensjohnson syndrome or toxic epidermal necrolysis she was bandaged from head to toe and blood seeping through the bandages though claimed this outcome is rare i encourage you to consider other options my sister was healthy and today lost her life due to the side effects of this drug that should not be on the market think twice,1.0,"stevensjohnson syndrome, toxic epidermal necrolysis",1
37,37,,,Lamictal (lamotrigine) for Bipolar Disorder:,i did quite well on lamictal for my bipolar on 150mg upon reaching 200mg i had unbearable anxiety constant panic attacks headaches horrible nausea and vomiting i would recommend easing up gradually and staying at a lower dose if possible,7.0,"anxiety, nausea, vomiting",1
38,38,,,Lamictal (lamotrigine) for Bipolar Disorder:,ten years on antidepressants numerous breakdowns with family jobs courses my wallet and the bottle spent the last 2 years going to work only to come home to sleep lost my two children house and car a tip drove literally everyone away slowly came to the realisation that the world may be better without me i got diagnosed with bipolar bpd rapid cycling and now on day 3 of lamactil weaning off effexor my house is clean i can prioritize things i seem to be clawing my way out of that dark space in my mind im motivated to leave the house and am hopeful about cleaning up my financial messes if i had been diagnosed earlier i might still have my children this medication is saving my life,10.0,,0
39,39,Lea123,"May 8, 2013",Lamictal (lamotrigine) for Bipolar Disorder:,i was diagnosed with bipolar ii when i was 18 years old i have been on lamictal for a year and a half now within a month of starting this medication i saw amazing results i have experienced no depression and no hypomania whatsoever after having bipolar ii really run my life in my teen years and cause me to temporarily lose sight of myself i feel like i have reconnected with who i truly am since starting this medication i feel more myself than i have in so many years i still feel things deeply hence unlike some antidepressants which numb you per my own experience lamictal does not if you truly have bipolar ii this is a wonderful medication much love to you all on this tumultuous journey stay strong and never lose hope,10.0,"depression, hypomania",1
40,40,,,Lamictal (lamotrigine) for Bipolar Disorder:,wellbuetrin get off the couch zoloft be happy pristiq be happier xanax chill out adderall get er done efficiently dexilant ulcer of course lisinopril blood pressure up down up down and thenbecause i felt so awful and helpless pain pills im a smart girl i understand the epidemic and the risk of addiction but didnt care went into new dr one that finally didnt just take out a prescription pad and ask me what do you want but asked questions to better understand me the plan to taper off a ton of these drugs not cold turkey and prescribed lamictal game changer less meds for liver more money in my pocket more genuine calmness and happiness seriously game changer,10.0,"pain, ulcer",1
41,41,backtome,"May 4, 2021",For Depression:,i have drug resistant severe clinical depression since 1982 ive tried every drug possible all with side effects ive taken lamictal for the past 20 years and i have to say it has without any doubt whatsoever saved my life including giving me a quality life lamictal for me is a godsend and ill never stop taking it back to being me,9.0,depression,1
42,42,,,For Borderline Personality Disorder:,lamictal has 100 changed my life with borderline personality disorder i am beyond grateful to finally be able to function like a normal human being i am not lashing out in anger anymore i can concentrate i think before i react i behave rationally and i have patience i had zero ability to control my reactions before lamictal this medication literally saved my life if you do go on this medication i must warn you that the change is very dramatic and adjusting to normal is very foreign and scary for a while especially if you have been this way for a long time therapy is an absolute must talking through your problems past and present learning new coping skills and just having that support will help tremendously i know you probably feel like its impossible to change because its all you know i get it but life can be good no matter how many other meds didnt work lamictal might be the answer to your prayers,10.0,"anger, personality disorder",1
43,43,,,Lamictal (lamotrigine) for Bipolar Disorder:,i have tried and failed every medication out there i just could not tolerate the side effects and weight gain i came very close to suicide and i finally got on lamictal what a difference i am finally not having the mania keeping me up for days and the severe depression of constantly writing suicide letters i am also on klonopin i had to go off my meds during my pregnancy and my husband said i will never get you pregnant again that is how much better i am on the medication my dose is 300 mg split twice daily i had gastric bypass as well and i am tolerating it the same as i was before i have been on lamictal for 8 yearsi wanted to share my experience so that i might touch someones life and make a difference,10.0,"depression, mania, pregnancy, suicide",1
44,44,,,Lamictal (lamotrigine) for Bipolar Disorder:,i have bipolar disorder type 2 and when the pandemic hit my moods became completely unmanageable especially my anxiety i had not been on medication for about 4 years which if you have bipolar disorder can be very dangerous territory the racing thoughts the angry outbursts the never ending panic attacks crying outbursts the maniait was awful i ended up having to be hospitalized i am not someone who is good at taking medicine i castrophize and make my self suffer unnecessarily i finally gave in while at the hospital and started lamictal 25mg twice daily and im thankful i did within the first 2 days my panic attacks eased my racing thoughts quieted and i wasnt crying so much it does make me tired and gave me headaches for about a week but both are manageable and have lessened i have had only 1 panic attack since starting lamictal and it was much less severe than without this medication works for me,8.0,"anxiety, bipolar disorder, crying, panic attack",1
45,45,,,Lamictal (lamotrigine) for Bipolar Disorder:,i felt it necessary to leave a review because of how well this medication has worked for me however i have been quite seriously bipolar with panic disorder for over 30 years as you can imagine i have been on many medications about two years ago nearly everything had gone wrong in my life including being homeless and drinking far too much i pulled out of that with the help of seroquel but i was still having really really bad times then i met someone who suggested this medication well it was not instant but slowly i started becoming normal normal to me is wonderful now i hardly drink why because i drank to cure myself i actually wake up and look forward to the day i feel young again,10.0,panic disorder,1
46,46,,,For Anxiety:,have been suffering from anxiety panic and bipolar depression for 20 years have been on every cocktail imaginable and was my best on klonopin remeron and zyprexa zyprexa caused me to gain 60 lbs over 4 years and made my blood sugar crazy trying to come off was really awful i dropped from 10mg to 5mg to 25 to 125 for months after several failed attempts trying to cross with latuda abilify and seroquel my doctor prescribed lamictal and its changed my life completely my depression is all but gone my moods are better anxiety is lower and ive been zyprexa free for 2 months and lost 19 lbs i am currently at 50 mg and our goal dosage is 100mg took a few days to kick in and getting better by the day finally getting my life back,10.0,"anxiety, depression",1
47,47,,,For Borderline Personality Disorder:,ok so when i first started taking this medication lamotrigine for borderline personality disorder i felt really dizzy slightly sedated and had nausea i read a lot of others people reviews saying if you can push past this initial stage your body will adjust to it and what do you know it took about six days to get over the initial side effects from lamotrigine i feel way more balanced out i am not over thinking and the things that used to worry me or give me anxiety no longer do i dont hold on to the negative obsessive thoughts like i used to if something upsets me i am able to take a step back and look at the whole picture without blowing up i realize it takes 6 weeks to reach full potential but oh my wow must i say i see and feel a difference within myself i am going to keep taking this medication as i can see its potential to change my life the way i feel about myself the way i feel and interact with others and my whole outlook on things in general i am starting to feel normal and i havent felt like that in awhile,9.0,"anxiety, nausea, obsessive thoughts, personality disorder, worry",1
48,48,,,For Anxiety:,i was put on this for severe anxiety 6 weeks ago and it has given me my life back i can now go in public places without having a breakdown and my family has noticed a huge difference im taking better care of myself and have the energy and desire to walk again the only downfall is you have to titrate up slowly so you can get discouraged at first thinking it isnt working im now on 200mg and its been a game changer dont give up on this medicine as it is a miracle worker the only side effects ive had is a runny nose and headaches when starting it but id take that any day over the crippling anxiety i once had,10.0,anxiety,1
49,49,,,For Depression:,i believe ive been misdiagnosed with bipolar disorder ive never had a manic or hypomanic episode ever i was put on 200mg of lamictal along with other meds i feel completely flat and i think its the lamictal i have no emotions and my motivation is extremely low i know i love my daughter but i dont feel that love this is an example of having no emotions and i hate it i want to feel that love i want to feel anything im just flat,2.0,bipolar disorder,1
50,50,,,For Borderline Personality Disorder:,i consider lamictal to be my miracle drug for borderline personality disorder it has significantly turned my life around for the better im currently about to have my dose increased to 200mg a day was 100mg previously but i already feel more normal i feel like im close to becoming the person im meant to be my true self i had felt blinded hanging onto the words of loved ones doing harmful things on impulse pushing others way i felt like i was looking at the world through a distorted lens im learning how to be at peace with myself and others thanks to lamictal i love it cant recommend it enough i hope im not the only one with bpd who takes this ,10.0,personality disorder,1
51,51,,,For Depression:,i started lamictal during a life upheaval leading to acute severe depression and after a bad reaction to lexapro worsening depression and suicidal starting at lamotrigine 25mg within 1 to 2 days i felt immediate relief i worked up to 75mg and stuck with that for several months circumstance lead to worsening depression and went to 150mg once daily and now at 200mg and holding steady i have stopped years of benzo ativan klonopin xanax now only take lamictal this medication provides a wall against depressive thoughts behaviors also mood swings and rage issues that i suffered most of my life are almost completely absent this med has given me a chance to live happily even during times of great change and struggle time to time i consider going off but im afraid of relapse have been taking 3 years,10.0,"depression, mood swings, rage",1
52,52,,,Lamictal (lamotrigine) for Bipolar Disorder:,i 100 believe i would not be alive today without the lamictal i take for bipolar before lamictal being alive was one of the hardest jobs id ever been tasked with now because of this drug i feel like a normal part of society looking forward to living life this drug showed me how important it is to take your mental health seriously,10.0,,0
53,53,,,Lamictal (lamotrigine) for Bipolar Disorder:,i have taken many different medications and this is the best and cleanest mood stabilizer i was on 200mg i do recommend it to people who are manic and unstable it will help you get back on your feet and function in life you will likely notice your mood is flatlined but if your life is in the dumps then having a flatlined emotion is worth it you will not get upset over things that made you upset in the past disclaimer it gave me some short term memory loss and pounding headaches with hazy vision if i did not take the medicine at the same time everyday be careful with alcohol because the hangovers are extreme on this medication,8.0,memory loss,1
54,54,,,For Depression:,tried everything from depakote to lithium and every antidepressant with them finally paired lamictal lamotrigine with lexapro escitalopram and hit the jackpot im unipolar severe depressive and the 300mg er lamotrigine with 20mg lexapro has kept me totally moodbalanced and lowanxiety after 20 years of different meds i finally feel like myself,10.0,,0
55,55,dmy25,"June 4, 2021",For Depression:,ive been on many ssris and anxiety medications this has 100 been the most helpful one ive ever taken im diagnosed major depressive gad ocd pmdd agoraphobic this medication has saved my life its the first med ive taken that had minimal side effects when i first started i would get a bit of nausea after about an hour then get really hungry when i took it after a meal or with a snack it stopped happening i cant take it at night because it will give me some crazy dreams so i usually take it around lunch my anxiety has decreased dramatically i have a range of emotions now instead of just sad or angry theyre very even im getting housework done ive stopped waking up in the middle of the night at 3am every night im enjoying time with my family if youve been prescribed this medication and are nervous please try it it is a slow build up so dont go into it expecting the process to be quick its definitely worth it though,10.0,"anxiety, nausea",1
