,Unnamed: 0,Date,Star,Condition,Rating,adr,label
28,28,1/10/2020 9:35:00 PM,5 Stars,Rated  for Bipolar II disorder Report ,i have taken lamictal for a few years now it has been the most helpful drug in dealing with my bipolar symptoms side effects have been minor the worse in insomnia but taking klonopin twice a day helps not only my anxiety but a bit with sleep too my pdoc had me on effexor for quite awhile horrible drug at least for me coming off of it was very difficult but felt much better after coming off of the effexor i was on 400mg per day of lamictal for some reason my mania and anxiety emotions went haywire in a bad way i found that cutting the dose of lamictal in half down to 200mg per day has put made a huge huge difference wonder if anyone else has has something similar happen did decreasing your lamictal after taking it for a long time actually help and make you feel better not sure if it is just because of the mix with effexor or maybe if i had been taking less i would have felt better long ago i do think lamictal is a wonderful drug and so helpful for me but it was scary there for a bit,"anxiety, insomnia, mania",1
29,29,11/8/2019 9:14:51 PM,4 Stars,Rated  for Bipolar II disorder Report ,started on 25mg and worked my way up to 200mg a day it worked for me started being more productive felt much happier after years of depressing episodes felt like i wasnt on a roller coaster anymore side effects were present and noticeable and remember this isnt a cure its something i had to cope with there were times where i felt down again and questioned the treatment but ive felt much more productive and happy,,0
30,30,9/24/2019 1:03:56 PM,5 Stars,Rated  for Bipolar II disorder Report ,ive been taking lamictal for 15 years now and i feel like a new person my friends and family have noticed a significant change too ive slowly made my way up to 500 mg and my dose is still being monitored ive experienced a few side effects one of the worst being double vision ive learned how to manage it though i just have to make sure i have a decent amount of food in my stomach especially if im having caffeine or alcohol another thing i experienced is decreased hunger ive lost about 15 lbs over the course of taking it but im not complaining of course i still have to make sure im getting enough food in my stomach overall this is the medication for me and it changed my life i no longer experience the extreme cycles i was going through i was cycling multiple times a day and it has really set me free,hunger,1
31,31,5/9/2019 12:03:31 AM,3 Stars,Rated  for Chronic fatigue syndrome (CFS; CFIDS; M.E.) Report ,im neutral about this drug i have been taking 200mg for approx 15 years within the past week i have finally acknowledged the fact lamictal has side effects i dug really deep into the effects on the brain what i found has provided so much light i have not been able to lose weight with extreme diet and hard core lifting ive had bacteria gut ive experienced constipation over the duration on lamictal and my hormones are completely off balance i didnt realize these are side effects until i stumbled on a website that pointed these similar issues be ware of what this drug can do to you,constipation,1
32,32,4/17/2019 6:00:07 AM,3 Stars,Rated  for Bipolar II disorder Report ,ive been on this med with antidepressants still have bouts of mood disorder and find it difficult to concentrate after being on it for 2 years before you start this med make sure if youre actually feeling any difference stay on a low effective dose first if you dont feel improvements within 46 weeks then consider something else,,0
33,33,3/23/2019 8:24:47 PM,5 Stars,Rated  for Generalized anxiety disorder (GAD) Report ,this has changed my life it took awhile to titrate up to my 150mg dose but boy was it worth it it wasnt until i was fully up to my current dose that i was able to think clearly i had been depressed and anxiety ridden for so long and didnt see how long it had truly been i am free i am happy i will never look back try it,anxiety,1
34,34,3/13/2019 5:37:02 AM,3 Stars,Rated  for Depression Report ,i took this drug for 10 years after being continuously raised on dose to 400 twice a day my family asked that i see another doctor weaning off was extremely tortuous physically and mentally it did help at first but my doctor would not try anything else since changing i rarely have migraines was having them daily if a lower dose doesnt help i recommend something else be honest and informative so your doctor can help you best as possible struggled for 44 years,,0
35,35,3/9/2019 7:21:02 AM,1 Stars,Rated  for Migraine Report ,i took a 10mg dose before bed for about five days did nothing to prevent my migraines it actually made them worse than usually also i got a very bad rash all across my back and shoulders that felt like i was on fire,rash,1
36,36,3/5/2019 3:44:58 PM,5 Stars,Rated  for Bipolar Disorder NOS Report ,i have taken this for several months now very very slowly titrating up to 150mg now no side effects yet i have noticed a slight antidepressant effect where i havent felt depressed for more than maybe 12 hour on a few days however im not sure about mania maybe we should raise the dose more because it seems i can get minor mania episodes and trouble sleeping with it if im not careful with my lifestyle but overall it seems to be working ok,mania,1
37,37,3/4/2019 8:29:29 PM,2 Stars,Rated  for Bipolar II disorder Report ,i have been on it for 3 months im at 100mg it is not helping me at all in fact i feel worse my doctor increased the dosage after i told him i was not feeling any better but worse i cry constantly feel horribly depressed much worse than before taking it i am being weaned off of seroquel from 300 mg down to 200 mgs so im not sure if thst is related with how i feel i see my doctor next week i am telling him this medication is making me feel worse sleep problems memory problems and also feeling extremely deoressed and feeling very racy apparently i am in the minority because it seems to help most people but not me at all,,0
38,38,3/2/2019 5:23:20 PM,1 Stars,Rated  for Post-Traumatic stress disorder (PTSD) Report ,i started this drug in dec 2018 for anxiety with 25mg twice a day i worked up to 100 mg then 150mg then 200 it has had minimual effect on decreasing anxiety in fact i felt worse with 200 mg and have cut back to 150 mg until i talk to my pa i m not confident that it will help me if after nearyl 3 mo im worse,anxiety,1
39,39,2/22/2019 10:10:38 AM,5 Stars,Rated  for Depression Report ,it was the only medicine that didnt affect the real me and my personality everything else seemed to be too strong and make me feel like a zombie,,0
40,40,2/18/2019 4:54:53 AM,1 Stars,Rated  for Chronic fatigue syndrome (CFS; CFIDS; M.E.) Report ,i was on this drug for 3 years and it worked in the beginning the side effects where major sleep problems could not get to sleep at night and had trouble getting up in the mornings i would sit in a chair and loose track of time just felt stuck and spaced out it caused muscle weakness and stiffness felt like a 90 year old person and im in my 30s just be careful with this one it doesnt show side effects right away they creep up on you and its hell getting off it good luck and dont give up,stiffness,1
41,41,1/14/2019 12:00:23 PM,5 Stars,Rated  for Depression Report ,lifesaver following a possible drug induced psychosis i went into a deep unipolar depression which got so bad i had to quit work commenced on abilify titrating up to 75mg followed by adding pritiq 200mg which helped some but couldnt seem to get my motivation and zest for life back psychatrist suggested adding lamictal commencing on 25mg and going up by 25mg every two weeks until reaching 100mg i could tell it was helping from the first pill but could not tell you how much it has helped me get back to normal life again i think this should be the gold standard for severe depression truley a miricle drug,depression,1
42,42,1/11/2019 7:23:20 PM,5 Stars,Rated  for Post-Traumatic stress disorder (PTSD) Report ,my doctor started me on the 25mg for 2 weeks bumped me to 50mg for the next two weeks then two weeks after i was up to a 100mg for a few more weeks then finally im now on 200mg a day i suffer from depressionptsd and anxiety disorder ive been on many antidepressants and anxiety medications before but lamictal i can seriously say saved my life,"anxiety, anxiety disorder",1
43,43,1/11/2019 6:03:27 PM,5 Stars,Rated  for Depression Report ,ive struggled with major depressive disorder for over 20 years after working through the slow titration process i now feel things i thought only existed in movieshope peace calm happiness ability to get into rem sleep in general what i think being truly alive must feel likeit has saved my life,depressive disorder,1
44,44,1/9/2019 10:26:38 PM,5 Stars,Rated  for Depression Report ,i recently started this drug i am currently on 100mg titrating up to 150mg i was prescribed this for suicidal thoughts my psychiatrist termed my issue as chronic suicidality not sure how this is allowed to exist it has reduced my suicidal thoughts significantly i also take effexor xr 225mg i am very thankful for lamictal,,0
45,45,1/5/2019 6:58:35 PM,1 Stars,Rated  for Depression Report ,horrible memory loss effected job performance and relationships cried everyday and night blessedly off it for a month and feel almost normal,memory loss,1
46,46,12/31/2018 3:35:40 AM,4 Stars,Rated  for Bipolar II disorder Report ,i take lamictal 300mg for mood swings from my bipolar 2 along with lezapro 20mg for depression and xanax twice daily as needed for generalized anxiety disorder i really enjoyed lamictal when i first got on it i wouldnt say it helped much with depression it helped a bit with anxiety it helped the mood swings a lot i started at 25mg and worked my way up to 300mg in a few months only side affect i have is short term memory loss and delayed reaction time i feel like the medication is helping my mood and the side effects didnt bother me at first now the people around me notice it i retell stories and information multiple times and repeat it and have no recollation that i said it already i forget things quickly and my thoughts are jumbled i might have to find a different mood stabilizer or change dose i would still reccomend,"anxiety, anxiety disorder, depression, memory loss, mood swings",1
47,47,12/21/2018 2:01:37 AM,1 Stars,Rated  for Generalized anxiety disorder (GAD) Report ,developed dress syndrome as a reaction to this drug a few weeks after being prescribed and taking it laid in a hospital bed for 13 days and nearly had to receive a liver transplant it took a few months to get healthy again so yeah be careful it doesnt just straight up kill you im lucky to be alive according to the various doctors i now have to work with as i continue recovery,,0
48,48,12/15/2018 8:59:25 AM,2 Stars,Rated  for Depression Report ,i was taking generic lamotrigine made by teva hopefully they keep their trend going on losing money and eventually fold teva makes very very low quality generic drugs and had a disaster with welbutrin as well i took name brand lamictal and it worked okay but was only on it for three months the teva generic version was beyond a nightmare any generic is pretty much junk in my opinion generic drugs arent even tested so that alone should make you stay away from them teva lamotrigine caused so many side effects it was unreal hair loss memory loss graying hair vision nearly lost weight loss headaches that would kill two elephants dry skin insonnia lowered immune system theres probably a few more but lets just say it wouldve been better to scoop out a glass of water out of a toilet and chug it back than taking this poison gsk knows more about this drug than they are letting on wtf no mention of memory loss on the drug side effects hair loss is rare come on people are starting to wake up to the fact that the fda and big pharma are sleeping together name brand lamictal did show some benefits but the generic teva brand was beyond awfuli hope that,"dry skin, memory loss, nightmare",1
49,49,12/14/2018 3:40:49 AM,3 Stars,Rated  for Bipolar II disorder Report ,i have taken seroquel xr in the past but these last few months i have been weaning off of it so my doctor prescribed lamictal for bp disorder so far i havent felt much improvement but i did realize during recent bloodwork that my therapeutic blood level was too low im currently taking 100mg of lamictal but i am also taking other meds to control my racing thoughts i heard from some people that it is a wonderful and effective drug with little side effect especially if youre afraid to gain weight but you must start this med at a very low dose so you dont get the rashstevenjohnson syndrome i wish everyone good luck but i think its not helping me much for now yet i will stick with it for now perhaps in the near future my doctor and i will adjust the dosage to the correct therapeutic levels remember if this med isnt helping you then you must check your blood level before quitting this medication ask your doctor to check your blood levels i think with this med you can take up to 400mg but some people do well at a lower dose,,0
50,50,12/10/2018 12:15:07 AM,5 Stars,Rated  for Chronic fatigue syndrome (CFS; CFIDS; M.E.) Report ,ive been taking lamictal for four years for its mood stabilizing properties i have bipolar 1 and its the only mood stabilizer that works for me no side effects at all other than amazing orgasms at 400 mg the only problem is that i cant orgasm without it now decreasing my dose causes anorgasmia i have to stay on it for the rest of my life and as long as i take it as prescribed 400mg i have no problems feel great and have better orgasms,anorgasmia,1
51,51,12/5/2018 2:37:03 AM,5 Stars,Rated  for Panic disorder / agoraphobia Report ,bipolar 2 w panic this has stopped panic attacks all together to me that is priceless,,0
52,52,11/18/2018 5:28:56 PM,3 Stars,Rated  for Bipolar II disorder Report ,i am giving this an average 3 stars because i honestly did not feel a single change with lamictal i started on it with depakote and olanzapine initally and this significantly brought me down and i was less hyper that was 3 months ago and now im just taking lamictal honestly it does not affect me at all i stopped it for a month and felt exactly the same i started it again for a week now just to see any difference and if anything i feel sadder i dont know now if i will keep on taking it as prescribed by my doctor or just stop cold turkey it has little or no effect on me,,0
53,53,10/25/2018 9:42:57 AM,3 Stars,Rated  for Generalized anxiety disorder (GAD) Report ,im just upped my dose to 100mg a day from 50 mg a day ive been on lamictal for 28 days now but havent noticed much improvement i know these meds can take up to 8 weeks for the full effect to take place so i havent given up hope im just not there yet i will update again after longer use,,0
54,54,10/1/2018 4:46:44 PM,1 Stars,Rated  for Bipolar II disorder Report ,this drug is the absolute worst on top of not being able to sleep my memory deteriorated at a rapid rate before i even knew what was happening that in turn made my life on lamictal frustrating to not only me but those around me my memory got so bad that i could barely even remember to medicate which just made matters worse ive been off lamictal for a few months now and my memory is coming back but i fear some of it might be gone forever,fear,1
55,55,9/25/2018 4:34:28 AM,1 Stars,Rated  for Depression Report ,i was on 100mg to counteract the effects of the sertraline i was taking it altered my personality ruined my memory clouded my focus and made me scatter brained this drug has ruined my friendships stalled my career and affected my health it also affected my periods and made my hair fall out ive been off it six months now and my cognitive function is slowly returning i feel like im waking up from a nightmare,"fall, nightmare",1
56,56,8/30/2018 3:35:15 AM,5 Stars,Rated  for Migraine Report ,lamictal literally changed my life for the better 12 years ago i suffered from migraine with aura and into my early 20s i had at least 23 per week the neurologist tried various medications but within a month of taking lamictal my migraines started to disappear altogether and i havent had a migraine or any side effects atall miracle drug for me,"aura, migraine",1
57,57,8/26/2018 8:36:30 AM,5 Stars,Rated  for Bipolar II disorder Report ,note besides for the main treatment for bipolar i also used it to treat my bulimia eating disorder i have been on this medicine for 45 years and it has changed my life around completely i take a 150mg twice a day 300mg altogether never had any side effects would 100 recommend it if you want to feel like you can live again happily live life,"bulimia, eating disorder",1
58,58,8/10/2018 10:48:23 PM,5 Stars,Rated  for Bipolar II disorder Report ,deployed to iraq as a healthy 20 yr old came back feeling on top of the world but within the first month i began noticing odd behavior changes that worsened a couple years later to manic depressive episodes doctor put me on lamictal after multiple failed ssris it made things so much better and balanced my rapid changes in mood depression was typically in the evenings and lasted for a week then followed by a rush of euphoria which typically lasted a couple days its hard to describe i cant imagine the days before these types of drugs were available,depression,1
59,59,7/29/2018 5:04:09 PM,5 Stars,Rated  for Bipolar II disorder Report ,saved my life helped me get 8 hours sleep instead of my frequently disrupted 4 5 hours for years,,0
60,60,7/27/2018 3:23:28 PM,5 Stars,Rated  for Bipolar II disorder Report ,i was diagnosed with bipolar 2 disorder in december 2017 i began taking lamictal in january and was fully titrated on at 75 mg by march 2018 things were definitely manageable i wasnt getting major migraines or staying in my depressive episodes for long it took some time but there was definitely a noticeable change in the length and severity of my episodes in the summer i get even more depressed and so my doctor prescribed me lexapro 5 mg to add to my regimen within 30 minutes of taking 5mg of lexapro i felt jittery but good for the next two nights however that jittering turned to anxiety and insomnia and i could not sleep at all on the 3rd day we decided to lower the lexapro dosage to 25 mg and taken earlier in the day since then i have been able to sleep function etc normally i didnt think it was possible to feel good i dont feel hypomanic and i havent felt depressed since taking the right dosage of the lexapro sometimes im tempted to stop taking lamictal because the lexapro works so well however if you have bipolar disorder you should never stop taking your mood stabilizer,"anxiety, bipolar disorder, insomnia",1
61,61,7/24/2018 12:41:19 AM,4 Stars,Rated  for Bipolar II disorder Report ,i started lamictal at a low dose and now i am at 100mg a day the first time i upped the dose to 100 i had extreme mood swings i got extremely irritable but after a few days the mood swings seemed to die down my mood swings are almost non existent i will continue this medication,mood swings,1
62,62,7/15/2018 12:07:52 PM,5 Stars,Rated  for Bipolar Disorder Report ,lamictal has saved my life i never do these drug reviews but this is my second month on 200 mg and i feel great i dont feel drugged up at all the only side effect was hypo mania in the beginning but that settled please give it a shot you wont regret it,mania,1
63,63,6/5/2018 4:16:38 PM,5 Stars,Rated  for Bipolar II disorder Report ,helped stabilize my mood quite well mania is completely manageable and my depression is under control with the addition of pristiq missed doses caused nausea,"depression, mania, nausea",1
64,64,5/30/2018 12:51:56 AM,5 Stars,Rated  for Bipolar II disorder Report ,i take 100 mg of lamictal daily with 20 mg of lexapro i never allow myself to run out its my top priority now it took my psychiatrist 18 months to find these two drugs that work superbly for me ive been on them for 9 years now and i feel absolutely normal i have no mood swings no panic attacks and no anger issues anymore i think the problems i face now are the same kind of problems any person has im able to exercise patience now and think things through before making decisions whereas before i made bad choices and impulsive decisions and had a lot of trouble coping with every day life and every day problems i feel content even happy at times and very centered people cant tell that im bipolar which is a testament that psychiatric drugs can and do work,"anger, mood swings",1
65,65,5/23/2018 6:18:04 AM,3 Stars,Rated  for Bipolar II disorder Report ,i loved taking lamictal i felt calm and neutral things didnt bother me as much i was able to concentrate and focus it felt great unfortunately i had an allergic reaction to the med after dosing up seemed immediate help as my rash was pretty severe sigh other than that it worked well,rash,1
66,66,5/17/2018 10:51:22 AM,5 Stars,Rated  for Depression Report ,i was diagnosed with mdd at the age of 14 im 31 now and i have been prescribed 10 different antidepressant and antianxiety drugs in various amounts and combinations from then until now nothing really helped very much with my depression and the side effects i experienced were intolerable ive been taking 100mg lamictal combined with buspar 125mg bid for a few months now and ive never felt so stable its night and day this medication changed my life i was so reluctant after years of disappointment not responding to treatment that im so glad i tried this at suggestion of my therapist full disclosure i experienced some side effects initially but they were mild some dizziness at the beginning that disappeared over time and i also gained five pounds the first month and lost it again already id recommend this highly to others who have tried antidepressants and not responded well,"depression, dizziness",1
